Name,TIME,IO
data013,2026-02-12 01:57:51.499,X
data013,2026-02-12 01:58:56.499,X
data013,2026-02-12 01:59:56.499,X
data013,2026-02-12 02:00:58.660,X
data013,2026-02-12 02:02:03.500,X
data013,2026-02-12 02:03:05.359,X
data013,2026-02-12 02:04:05.810,X
data013,2026-02-12 02:05:17.780,X
data013,2026-02-12 02:06:23.890,X
data013,2026-02-12 02:07:28.849,X
data013,2026-02-12 02:08:31.779,X
data013,2026-02-12 02:09:31.159,X
data013,2026-02-12 02:10:31.840,X
data013,2026-02-12 02:11:35.730,X
data013,2026-02-12 02:12:36.839,X
data013,2026-02-12 02:13:37.750,X
data013,2026-02-12 02:14:43.060,X
data013,2026-02-12 02:15:42.919,X
data013,2026-02-12 02:16:46.639,X
data013,2026-02-12 02:17:48.420,X
data013,2026-02-12 02:19:02.419,X
data013,2026-02-12 02:20:04.109,X
data013,2026-02-12 02:21:14.940,X
data013,2026-02-12 02:22:17.120,X
data013,2026-02-12 02:23:57.249,X
data013,2026-02-12 02:25:04.819,X
data013,2026-02-12 02:26:06.119,X
data013,2026-02-12 02:27:07.719,X
data013,2026-02-12 02:28:12.100,X
data013,2026-02-12 02:29:17.080,X
data013,2026-02-12 02:30:23.699,X
data013,2026-02-12 02:31:30.310,X
data013,2026-02-12 02:32:34.700,X
data013,2026-02-12 02:33:41.600,X
data013,2026-02-12 02:34:51.879,X
data013,2026-02-12 02:35:59.879,X
data013,2026-02-12 02:37:12.659,X
data013,2026-02-12 02:38:22.650,X
data013,2026-02-12 02:39:31.450,X
data013,2026-02-12 02:40:33.279,X
data013,2026-02-12 02:41:37.859,X
data013,2026-02-12 02:42:40.039,X
data013,2026-02-12 02:43:47.439,X
data013,2026-02-12 02:44:54.940,X
data013,2026-02-12 02:46:03.459,X
data013,2026-02-12 02:47:04.830,X
data013,2026-02-12 02:48:38.920,X
data013,2026-02-12 02:50:01.519,X
data013,2026-02-12 02:51:17.529,X
data013,2026-02-12 02:52:29.940,X
data013,2026-02-12 02:53:47.819,X
data013,2026-02-12 02:54:59.209,X
data013,2026-02-12 02:57:16.740,X
data013,2026-02-12 02:58:21.119,X
data013,2026-02-12 02:59:26.329,X
data015,2026-02-12 01:04:49.720,X
