X_TIME,Y_TIME,DURATION_MS
2026-01-14 13:17:26.391,2026-01-14 13:17:26.600,209
2026-01-14 13:17:48.281,2026-01-14 13:17:48.490,209
2026-01-14 13:18:06.570,2026-01-14 13:18:06.791,221
2026-01-14 13:18:37.081,2026-01-14 13:18:37.291,210
2026-01-14 13:19:17.091,2026-01-14 13:19:17.300,209
2026-01-14 13:19:55.781,2026-01-14 13:19:56.000,219
2026-01-14 13:20:35.981,2026-01-14 13:20:36.191,210
2026-01-14 13:21:13.491,2026-01-14 13:21:13.700,209
2026-01-14 13:21:55.181,2026-01-14 13:21:55.401,220
2026-01-14 13:22:35.390,2026-01-14 13:22:35.600,210
2026-01-14 13:23:15.181,2026-01-14 13:23:15.401,220
2026-01-14 13:23:52.470,2026-01-14 13:23:52.690,220
2026-01-14 13:24:32.890,2026-01-14 13:24:33.110,220
2026-01-14 13:25:06.682,2026-01-14 13:25:06.901,219
2026-01-14 13:25:45.490,2026-01-14 13:25:45.712,222
2026-01-14 13:26:23.892,2026-01-14 13:26:24.100,208
2026-01-14 13:26:59.780,2026-01-14 13:27:00.001,221
2026-01-14 13:27:35.681,2026-01-14 13:27:35.900,219
2026-01-14 13:28:13.791,2026-01-14 13:28:13.991,200
2026-01-14 13:28:50.480,2026-01-14 13:28:50.701,221
2026-01-14 13:29:31.790,2026-01-14 13:29:32.001,211
2026-01-14 13:30:09.781,2026-01-14 13:30:10.000,219
2026-01-14 13:30:49.390,2026-01-14 13:30:49.611,221
2026-01-14 13:31:27.901,2026-01-14 13:31:28.120,219
2026-01-14 13:32:06.281,2026-01-14 13:32:06.491,210
2026-01-14 13:32:42.291,2026-01-14 13:32:42.511,220
2026-01-14 13:33:22.800,2026-01-14 13:33:23.010,210
2026-01-14 13:34:02.790,2026-01-14 13:34:03.001,211
2026-01-14 13:34:39.790,2026-01-14 13:34:40.000,210
2026-01-14 13:35:17.800,2026-01-14 13:35:18.011,211
2026-01-14 13:35:55.591,2026-01-14 13:35:55.801,210
2026-01-14 13:36:33.190,2026-01-14 13:36:33.401,211
2026-01-14 13:37:09.390,2026-01-14 13:37:09.611,221
2026-01-14 13:37:49.680,2026-01-14 13:37:49.901,221
