X_TIME,Y_TIME,DURATION_MS
2026-01-14 15:46:44.941,2026-01-14 15:46:45.101,160
2026-01-14 15:47:25.250,2026-01-14 15:47:25.411,161
2026-01-14 15:47:59.771,2026-01-14 15:47:59.930,159
2026-01-14 15:48:34.440,2026-01-14 15:48:34.611,171
2026-01-14 15:49:30.870,2026-01-14 15:49:31.031,161
2026-01-14 15:49:49.040,2026-01-14 15:49:49.200,160
2026-01-14 15:50:20.981,2026-01-14 15:50:21.140,159
2026-01-14 15:50:57.171,2026-01-14 15:50:57.331,160
2026-01-14 15:53:08.161,2026-01-14 15:53:08.321,160
2026-01-14 15:53:27.261,2026-01-14 15:53:27.421,160
2026-01-14 15:53:49.750,2026-01-14 15:53:49.911,161
2026-01-14 15:54:08.260,2026-01-14 15:54:08.420,160
2026-01-14 15:54:26.741,2026-01-14 15:54:26.910,169
2026-01-14 15:54:49.240,2026-01-14 15:54:49.400,160
2026-01-14 15:55:16.370,2026-01-14 15:55:16.531,161
2026-01-14 15:55:52.550,2026-01-14 15:55:52.721,171
2026-01-14 15:56:29.041,2026-01-14 15:56:29.201,160
2026-01-14 15:57:09.460,2026-01-14 15:57:09.620,160
2026-01-14 15:57:44.860,2026-01-14 15:57:45.011,151
2026-01-14 15:58:21.661,2026-01-14 15:58:21.821,160
2026-01-14 15:58:56.750,2026-01-14 15:58:56.911,161
2026-01-14 15:59:31.350,2026-01-14 15:59:31.510,160
2026-01-14 16:00:07.060,2026-01-14 16:00:07.221,161
2026-01-14 16:00:41.771,2026-01-14 16:00:41.930,159
2026-01-14 16:01:16.080,2026-01-14 16:01:16.241,161
2026-01-14 16:01:54.381,2026-01-14 16:01:54.541,160
2026-01-14 16:02:35.150,2026-01-14 16:02:35.321,171
2026-01-14 16:03:12.071,2026-01-14 16:03:12.240,169
2026-01-14 16:03:49.140,2026-01-14 16:03:49.300,160
2026-01-14 16:04:27.190,2026-01-14 16:04:27.350,160
2026-01-14 16:05:04.651,2026-01-14 16:05:04.811,160
2026-01-14 16:05:47.901,2026-01-14 16:05:48.051,150
2026-01-14 16:06:28.880,2026-01-14 16:06:29.040,160
2026-01-14 16:07:04.450,2026-01-14 16:07:04.610,160
2026-01-14 16:07:43.871,2026-01-14 16:07:44.031,160
2026-01-14 16:08:26.070,2026-01-14 16:08:26.230,160
2026-01-14 16:09:01.271,2026-01-14 16:09:01.431,160
2026-01-14 16:09:33.960,2026-01-14 16:09:34.121,161
2026-01-14 16:10:11.661,2026-01-14 16:10:11.820,159
2026-01-14 16:11:00.790,2026-01-14 16:11:00.951,161
2026-01-14 16:11:37.540,2026-01-14 16:11:37.701,161
2026-01-14 16:12:18.780,2026-01-14 16:12:18.931,151
2026-01-14 16:13:01.021,2026-01-14 16:13:01.181,160
2026-01-14 16:13:36.171,2026-01-14 16:13:36.331,160
2026-01-14 16:14:13.050,2026-01-14 16:14:13.211,161
2026-01-14 16:14:56.070,2026-01-14 16:14:56.231,161
2026-01-14 16:15:30.971,2026-01-14 16:15:31.131,160
2026-01-14 16:16:10.650,2026-01-14 16:16:10.811,161
2026-01-14 16:35:07.901,2026-01-14 16:35:08.061,160
2026-01-14 16:41:29.991,2026-01-14 16:41:30.160,169
2026-01-14 16:41:49.660,2026-01-14 16:41:49.821,161
2026-01-14 16:42:21.890,2026-01-14 16:42:22.040,150
2026-01-14 16:42:44.411,2026-01-14 16:42:44.571,160
2026-01-14 16:43:02.911,2026-01-14 16:43:03.072,161
2026-01-14 16:43:22.071,2026-01-14 16:43:22.231,160
2026-01-14 16:43:44.080,2026-01-14 16:43:44.240,160
2026-01-14 16:44:02.491,2026-01-14 16:44:02.651,160
2026-01-14 16:44:24.301,2026-01-14 16:44:24.461,160
2026-01-14 16:44:45.482,2026-01-14 16:44:45.640,158
2026-01-14 16:45:03.872,2026-01-14 16:45:04.041,169
2026-01-14 16:45:22.260,2026-01-14 16:45:22.431,171
2026-01-14 16:45:40.900,2026-01-14 16:45:41.061,161
2026-01-14 16:45:59.210,2026-01-14 16:45:59.370,160
2026-01-14 16:46:20.800,2026-01-14 16:46:20.971,171
2026-01-14 16:46:39.310,2026-01-14 16:46:39.471,161
2026-01-14 16:46:58.781,2026-01-14 16:46:58.941,160
2026-01-14 16:47:24.591,2026-01-14 16:47:24.751,160
2026-01-14 16:47:42.981,2026-01-14 16:47:43.150,169
2026-01-14 16:48:02.571,2026-01-14 16:48:02.731,160
2026-01-14 16:48:20.881,2026-01-14 16:48:21.041,160
2026-01-14 16:48:43.291,2026-01-14 16:48:43.460,169
2026-01-14 16:49:01.581,2026-01-14 16:49:01.741,160
2026-01-14 16:49:19.990,2026-01-14 16:49:20.150,160
2026-01-14 16:49:42.380,2026-01-14 16:49:42.540,160
2026-01-14 16:50:01.051,2026-01-14 16:50:01.211,160
2026-01-14 16:50:21.971,2026-01-14 16:50:22.141,170
2026-01-14 16:50:43.201,2026-01-14 16:50:43.360,159
2026-01-14 16:51:01.460,2026-01-14 16:51:01.630,170
2026-01-14 16:51:19.970,2026-01-14 16:51:20.131,161
2026-01-14 16:51:41.011,2026-01-14 16:51:41.170,159
2026-01-14 16:52:05.180,2026-01-14 16:52:05.350,170
2026-01-14 16:52:26.390,2026-01-14 16:52:26.550,160
2026-01-14 16:53:02.170,2026-01-14 16:53:02.321,151
2026-01-14 16:53:38.781,2026-01-14 16:53:38.950,169
2026-01-14 16:54:14.380,2026-01-14 16:54:14.540,160
2026-01-14 16:54:55.781,2026-01-14 16:54:55.941,160
2026-01-14 16:55:36.360,2026-01-14 16:55:36.520,160
2026-01-14 16:56:14.461,2026-01-14 16:56:14.620,159
2026-01-14 16:56:49.980,2026-01-14 16:56:50.141,161
2026-01-14 16:57:27.070,2026-01-14 16:57:27.231,161
2026-01-14 16:58:10.780,2026-01-14 16:58:10.940,160
2026-01-14 16:58:53.071,2026-01-14 16:58:53.230,159
2026-01-14 16:59:37.770,2026-01-14 16:59:37.930,160
2026-01-14 17:00:14.070,2026-01-14 17:00:14.241,171
2026-01-14 17:00:55.251,2026-01-14 17:00:55.420,169
