X_TIME,Y_TIME,DURATION_MS
2026-01-14 15:47:51.791,2026-01-14 15:48:20.971,29180
2026-01-14 15:52:17.501,2026-01-14 15:52:30.881,13380
2026-01-14 15:52:54.900,2026-01-14 15:53:09.430,14530
2026-01-14 15:53:33.281,2026-01-14 15:53:46.661,13380
2026-01-14 15:54:10.500,2026-01-14 15:54:23.671,13171
2026-01-14 15:54:47.580,2026-01-14 15:55:01.540,13960
2026-01-14 15:55:25.681,2026-01-14 15:55:38.941,13260
2026-01-14 15:56:19.501,2026-01-14 15:56:50.941,31440
2026-01-14 15:57:36.201,2026-01-14 15:58:06.440,30239
2026-01-14 15:58:48.390,2026-01-14 15:59:18.250,29860
2026-01-14 15:59:57.991,2026-01-14 16:00:28.821,30830
2026-01-14 16:01:08.291,2026-01-14 16:01:37.611,29320
2026-01-14 16:02:20.890,2026-01-14 16:02:56.631,35741
2026-01-14 16:03:38.990,2026-01-14 16:04:10.851,31861
2026-01-14 16:04:53.891,2026-01-14 16:05:26.511,32619
2026-01-14 16:06:14.591,2026-01-14 16:06:50.191,35600
2026-01-14 16:07:31.191,2026-01-14 16:08:05.201,34010
2026-01-14 16:08:52.690,2026-01-14 16:09:22.810,30120
2026-01-14 16:10:00.500,2026-01-14 16:10:32.911,32411
2026-01-14 16:11:27.601,2026-01-14 16:11:59.071,31470
2026-01-14 16:12:45.491,2026-01-14 16:13:22.911,37420
2026-01-14 16:20:27.001,2026-01-14 16:20:42.861,15860
2026-01-14 16:40:57.801,2026-01-14 16:41:11.280,13479
2026-01-14 16:41:50.200,2026-01-14 16:42:03.591,13391
2026-01-14 16:42:31.400,2026-01-14 16:42:45.100,13700
2026-01-14 16:43:09.110,2026-01-14 16:43:22.511,13401
2026-01-14 16:43:48.321,2026-01-14 16:44:01.891,13570
2026-01-14 16:44:28.901,2026-01-14 16:44:44.910,16009
2026-01-14 16:45:09.111,2026-01-14 16:45:22.471,13360
2026-01-14 16:45:49.101,2026-01-14 16:46:02.690,13589
2026-01-14 16:46:29.001,2026-01-14 16:46:42.401,13400
2026-01-14 16:47:09.101,2026-01-14 16:47:22.500,13399
2026-01-14 16:47:48.800,2026-01-14 16:48:02.491,13691
2026-01-14 16:48:29.690,2026-01-14 16:48:43.291,13601
2026-01-14 16:49:10.810,2026-01-14 16:49:24.161,13351
2026-01-14 16:49:50.290,2026-01-14 16:50:03.670,13380
2026-01-14 16:50:30.020,2026-01-14 16:50:43.390,13370
2026-01-14 16:51:10.511,2026-01-14 16:51:25.550,15039
2026-01-14 16:51:50.010,2026-01-14 16:52:04.170,14160
2026-01-14 16:52:30.201,2026-01-14 16:52:44.950,14749
2026-01-14 16:53:10.801,2026-01-14 16:53:24.790,13989
2026-01-14 16:54:05.300,2026-01-14 16:54:36.091,30791
2026-01-14 16:55:22.291,2026-01-14 16:55:53.651,31360
2026-01-14 16:57:12.701,2026-01-14 16:57:26.371,13670
2026-01-14 16:59:15.511,2026-01-14 16:59:28.830,13319
