CATEGORYID,LARGEID,LARGENAME,MEDIUMID,MEDIUMNAME,SMALLID,SMALLNAME,PAGES
2C0991,2C,生産用機器,09,溶接機,91,移設・改造,A
2C0992,2C,生産用機器,09,溶接機,92,修理・オ－バ－ホ－ル,A
2C0993,2C,生産用機器,09,溶接機,93,二次側配線・配管,A
2C0999,2C,生産用機器,09,溶接機,99,その他,A
2C1101,2C,生産用機器,11,鍛圧応用機械,01,本体,A
2C1150,2C,生産用機器,11,鍛圧応用機械,50,ソフト（鍛圧応用機械用）,A
2C1190,2C,生産用機器,11,鍛圧応用機械,90,専用補修部品,A
2C1191,2C,生産用機器,11,鍛圧応用機械,91,移設・改造,A
2C1192,2C,生産用機器,11,鍛圧応用機械,92,修理・オ－バ－ホ－ル,A
2C1193,2C,生産用機器,11,鍛圧応用機械,93,二次側配線・配管,A
2C1199,2C,生産用機器,11,鍛圧応用機械,99,その他,A
2C1201,2C,生産用機器,12,印刷・刻印機,01,本体,A
2C1250,2C,生産用機器,12,印刷・刻印機,50,ソフト（印刷・刻印機用）,A
2C1290,2C,生産用機器,12,印刷・刻印機,90,専用補修部品,A
2C1291,2C,生産用機器,12,印刷・刻印機,91,移設・改造,A
2C1292,2C,生産用機器,12,印刷・刻印機,92,修理・オ－バ－ホ－ル,A
2C1293,2C,生産用機器,12,印刷・刻印機,93,二次側配線・配管,A
2C1299,2C,生産用機器,12,印刷・刻印機,99,その他,A
2C1501,2C,生産用機器,15,包装機・ケーサー,01,本体,A
2C1550,2C,生産用機器,15,包装機・ケーサー,50,ソフト（包装機・ケーサー用）,A
2C1590,2C,生産用機器,15,包装機・ケーサー,90,専用補修部品,A
2C1591,2C,生産用機器,15,包装機・ケーサー,91,移設・改造,A
2C1592,2C,生産用機器,15,包装機・ケーサー,92,修理・オ－バ－ホ－ル,A
2C1593,2C,生産用機器,15,包装機・ケーサー,93,二次側配線・配管,A
2C1599,2C,生産用機器,15,包装機・ケーサー,99,その他,A
2C1701,2C,生産用機器,17,自動倉庫・無人搬送車,01,本体,A
2C1750,2C,生産用機器,17,自動倉庫・無人搬送車,50,ソフト(自動倉庫・無人搬送車用),A
2C1790,2C,生産用機器,17,自動倉庫・無人搬送車,90,専用補修部品,A
2C1791,2C,生産用機器,17,自動倉庫・無人搬送車,91,移設・改造,A
2C1792,2C,生産用機器,17,自動倉庫・無人搬送車,92,修理・オ－バ－ホ－ル,A
2C1793,2C,生産用機器,17,自動倉庫・無人搬送車,93,二次側配線・配管,A
2C1799,2C,生産用機器,17,自動倉庫・無人搬送車,99,その他,A
2C1801,2C,生産用機器,18,組付・圧入・締付・カシメ機,01,本体,A
2C1850,2C,生産用機器,18,組付・圧入・締付・カシメ機,50,ソフト（組付・圧入・締付・カシメ機用）,A
2C1890,2C,生産用機器,18,組付・圧入・締付・カシメ機,90,専用補修部品,A
2C1891,2C,生産用機器,18,組付・圧入・締付・カシメ機,91,移設・改造,A
2C1892,2C,生産用機器,18,組付・圧入・締付・カシメ機,92,修理・オ－バ－ホ－ル,A
2C1893,2C,生産用機器,18,組付・圧入・締付・カシメ機,93,二次側配線・配管,A
2C1899,2C,生産用機器,18,組付・圧入・締付・カシメ機,99,その他,A
2C1901,2C,生産用機器,19,ロボット,01,本体,A
2C1950,2C,生産用機器,19,ロボット,50,ソフト（ロボット用）,A
2C1990,2C,生産用機器,19,ロボット,90,専用補修部品,A
2C1991,2C,生産用機器,19,ロボット,91,移設・改造,A
2C1992,2C,生産用機器,19,ロボット,92,修理・オ－バ－ホ－ル,A
2C1993,2C,生産用機器,19,ロボット,93,二次側配線・配管,A
2C1999,2C,生産用機器,19,ロボット,99,その他,A
2C5121,2C,生産用機器,51,熱処理装置,21,ガス炉,A
2C5122,2C,生産用機器,51,熱処理装置,22,電気炉,A
2C5123,2C,生産用機器,51,熱処理装置,23,高周波装置,A
2C5124,2C,生産用機器,51,熱処理装置,24,冷却装置,A
2C5125,2C,生産用機器,51,熱処理装置,25,サブゼロ装置,A
2C5150,2C,生産用機器,51,熱処理装置,50,ソフト（熱処理装置用）,A
