CATEGORYID,LARGEID,LARGENAME,MEDIUMID,MEDIUMNAME,SMALLID,SMALLNAME,PAGES
2D0909,2D,工作機械,09,研削盤,09,ホ－ニング盤,A
2D0910,2D,工作機械,09,研削盤,10,内面研削盤,A
2D0911,2D,工作機械,09,研削盤,11,治具研削盤,A
2D0912,2D,工作機械,09,研削盤,12,ラッピング盤,A
2D0915,2D,工作機械,09,研削盤,15,その他研削盤本体,A
2D0950,2D,工作機械,09,研削盤,50,ソフト(研削盤用),A
2D0990,2D,工作機械,09,研削盤,90,専用補修部品,A
2D0991,2D,工作機械,09,研削盤,91,移設・改造,A
2D0992,2D,工作機械,09,研削盤,92,修理・オ－バ－ホ－ル,A
2D0993,2D,工作機械,09,研削盤,93,二次側配線・配管,A
2D0999,2D,工作機械,09,研削盤,99,その他,A
2D1001,2D,工作機械,10,中ぐり盤,01,本体,A
2D1050,2D,工作機械,10,中ぐり盤,50,ソフト(中ぐり盤用),A
2D1090,2D,工作機械,10,中ぐり盤,90,専用補修部品,A
2D1091,2D,工作機械,10,中ぐり盤,91,移設・改造,A
2D1092,2D,工作機械,10,中ぐり盤,92,修理・オ－バ－ホ－ル,A
2D1093,2D,工作機械,10,中ぐり盤,93,二次側配線・配管,A
2D1099,2D,工作機械,10,中ぐり盤,99,その他,A
2D1101,2D,工作機械,11,歯切り盤,01,本体,A
2D1150,2D,工作機械,11,歯切り盤,50,ソフト(歯切り盤用),A
2D1190,2D,工作機械,11,歯切り盤,90,専用補修部品,A
2D1191,2D,工作機械,11,歯切り盤,91,移設・改造,A
2D1192,2D,工作機械,11,歯切り盤,92,修理・オ－バ－ホ－ル,A
2D1193,2D,工作機械,11,歯切り盤,93,二次側配線・配管,A
2D1199,2D,工作機械,11,歯切り盤,99,その他,A
2D1201,2D,工作機械,12,転造盤,01,本体,A
2D1250,2D,工作機械,12,転造盤,50,ソフト(転造盤用),A
2D1290,2D,工作機械,12,転造盤,90,専用補修部品,A
2D1291,2D,工作機械,12,転造盤,91,移設・改造,A
2D1292,2D,工作機械,12,転造盤,92,修理・オ－バ－ホ－ル,A
2D1293,2D,工作機械,12,転造盤,93,二次側配線・配管,A
2D1299,2D,工作機械,12,転造盤,99,その他,A
2D1301,2D,工作機械,13,ＮＣ装置,01,本体,A
2D1350,2D,工作機械,13,ＮＣ装置,50,ソフト(ＮＣ装置用),A
2D1390,2D,工作機械,13,ＮＣ装置,90,専用補修部品,A
2D1392,2D,工作機械,13,ＮＣ装置,92,修理・オ－バ－ホ－ル,A
2D1399,2D,工作機械,13,ＮＣ装置,99,その他,A
2D9901,2D,工作機械,99,その他,01,本体,A
2D9950,2D,工作機械,99,その他,50,ソフト(工作機械用),A
2D9990,2D,工作機械,99,その他,90,専用補修部品,A
2D9991,2D,工作機械,99,その他,91,移設・改造,A
2D9992,2D,工作機械,99,その他,92,修理・オ－バ－ホ－ル,A
2D9993,2D,工作機械,99,その他,93,二次側配線・配管,A
2D9999,2D,工作機械,99,その他,99,その他,A
2F6001,2F,半導体製造装置,60,半導体ウェハ製造工程,01,装置本体,A
2F6050,2F,半導体製造装置,60,半導体ウェハ製造工程,50,購入ソフト,A
2F6090,2F,半導体製造装置,60,半導体ウェハ製造工程,90,専用補修部品,A
2F6091,2F,半導体製造装置,60,半導体ウェハ製造工程,91,移設・改造,A
2F6092,2F,半導体製造装置,60,半導体ウェハ製造工程,92,修理・オ－バ－ホ－ル,A
2F6093,2F,半導体製造装置,60,半導体ウェハ製造工程,93,二次側配線・配管,A
2F6099,2F,半導体製造装置,60,半導体ウェハ製造工程,99,その他,A
2F6101,2F,半導体製造装置,61,半導体リソグラフィ工程,01,装置本体,A
2F6150,2F,半導体製造装置,61,半導体リソグラフィ工程,50,購入ソフト,A
2F6190,2F,半導体製造装置,61,半導体リソグラフィ工程,90,専用補修部品,A
2F6191,2F,半導体製造装置,61,半導体リソグラフィ工程,91,移設・改造,A
2F6192,2F,半導体製造装置,61,半導体リソグラフィ工程,92,修理・オ－バ－ホ－ル,A
2F6193,2F,半導体製造装置,61,半導体リソグラフィ工程,93,二次側配線・配管,A
2F6199,2F,半導体製造装置,61,半導体リソグラフィ工程,99,その他,A
2F6201,2F,半導体製造装置,62,半導体エッチング工程,01,装置本体,A
2F6250,2F,半導体製造装置,62,半導体エッチング工程,50,購入ソフト,A
2F6290,2F,半導体製造装置,62,半導体エッチング工程,90,専用補修部品,A
2F6291,2F,半導体製造装置,62,半導体エッチング工程,91,移設・改造,A
2F6292,2F,半導体製造装置,62,半導体エッチング工程,92,修理・オ－バ－ホ－ル,A
2F6293,2F,半導体製造装置,62,半導体エッチング工程,93,二次側配線・配管,A
2F6299,2F,半導体製造装置,62,半導体エッチング工程,99,その他,A
2F6301,2F,半導体製造装置,63,半導体薄膜形成工程,01,装置本体,A
2F6350,2F,半導体製造装置,63,半導体薄膜形成工程,50,購入ソフト,A
2F6390,2F,半導体製造装置,63,半導体薄膜形成工程,90,専用補修部品,A
2F6391,2F,半導体製造装置,63,半導体薄膜形成工程,91,移設・改造,A
2F6392,2F,半導体製造装置,63,半導体薄膜形成工程,92,修理・オ－バ－ホ－ル,A
2F6393,2F,半導体製造装置,63,半導体薄膜形成工程,93,二次側配線・配管,A
2F6399,2F,半導体製造装置,63,半導体薄膜形成工程,99,その他,A
2F6401,2F,半導体製造装置,64,半導体ＣＭＰ工程,01,装置本体,A
2F6450,2F,半導体製造装置,64,半導体ＣＭＰ工程,50,購入ソフト,A
2F6490,2F,半導体製造装置,64,半導体ＣＭＰ工程,90,専用補修部品,A
2F6491,2F,半導体製造装置,64,半導体ＣＭＰ工程,91,移設・改造,A
2F6492,2F,半導体製造装置,64,半導体ＣＭＰ工程,92,修理・オ－バ－ホ－ル,A
2F6493,2F,半導体製造装置,64,半導体ＣＭＰ工程,93,二次側配線・配管,A
2F6499,2F,半導体製造装置,64,半導体ＣＭＰ工程,99,その他,A
2F6501,2F,半導体製造装置,65,半導体ドーピング工程,01,装置本体,A
2F6550,2F,半導体製造装置,65,半導体ドーピング工程,50,購入ソフト,A
2F6590,2F,半導体製造装置,65,半導体ドーピング工程,90,専用補修部品,A
2F6591,2F,半導体製造装置,65,半導体ドーピング工程,91,移設・改造,A
2F6592,2F,半導体製造装置,65,半導体ドーピング工程,92,修理・オ－バ－ホ－ル,A
2F6593,2F,半導体製造装置,65,半導体ドーピング工程,93,二次側配線・配管,A
2F6599,2F,半導体製造装置,65,半導体ドーピング工程,99,その他,A
2F6601,2F,半導体製造装置,66,半導体洗浄・乾燥工程,01,装置本体,A
2F6650,2F,半導体製造装置,66,半導体洗浄・乾燥工程,50,購入ソフト,A
2F6690,2F,半導体製造装置,66,半導体洗浄・乾燥工程,90,専用補修部品,A
2F6691,2F,半導体製造装置,66,半導体洗浄・乾燥工程,91,移設・改造,A
2F6692,2F,半導体製造装置,66,半導体洗浄・乾燥工程,92,修理・オ－バ－ホ－ル,A
2F6693,2F,半導体製造装置,66,半導体洗浄・乾燥工程,93,二次側配線・配管,A
2F6699,2F,半導体製造装置,66,半導体洗浄・乾燥工程,99,その他,A
2F6701,2F,半導体製造装置,67,半導体後工程,01,装置本体,A
2F6750,2F,半導体製造装置,67,半導体後工程,50,購入ソフト,A
2F6790,2F,半導体製造装置,67,半導体後工程,90,専用補修部品,A
2F6791,2F,半導体製造装置,67,半導体後工程,91,移設・改造,A
2F6792,2F,半導体製造装置,67,半導体後工程,92,修理・オ－バ－ホ－ル,A
2F6793,2F,半導体製造装置,67,半導体後工程,93,二次側配線・配管,A
2F6799,2F,半導体製造装置,67,半導体後工程,99,その他,A
2F6801,2F,半導体製造装置,68,半導体検査工程,01,装置本体,A
2F6850,2F,半導体製造装置,68,半導体検査工程,50,購入ソフト,A
2F6890,2F,半導体製造装置,68,半導体検査工程,90,専用補修部品,A
2F6891,2F,半導体製造装置,68,半導体検査工程,91,移設・改造,A
2F6892,2F,半導体製造装置,68,半導体検査工程,92,修理・オ－バ－ホ－ル,A
2F6893,2F,半導体製造装置,68,半導体検査工程,93,二次側配線・配管,A
2F6899,2F,半導体製造装置,68,半導体検査工程,99,その他,A
2J0101,2J,計測器・試験機,01,技術開発・信頼性用試験装置,01,本体,A
2J0102,2J,計測器・試験機,01,技術開発・信頼性用試験装置,02,付帯機器,A
2J0150,2J,計測器・試験機,01,技術開発・信頼性用試験装置,50,ソフト(試験装置用),A
2J0190,2J,計測器・試験機,01,技術開発・信頼性用試験装置,90,補修部品,A
2J0191,2J,計測器・試験機,01,技術開発・信頼性用試験装置,91,移設・改造,A
2J0192,2J,計測器・試験機,01,技術開発・信頼性用試験装置,92,修理・オ－バ－ホ－ル,A
2J0193,2J,計測器・試験機,01,技術開発・信頼性用試験装置,93,二次側配線・配管,A
2J0195,2J,計測器・試験機,01,技術開発・信頼性用試験装置,95,リース・レンタル,A
2J0199,2J,計測器・試験機,01,技術開発・信頼性用試験装置,99,その他,A
2J0201,2J,計測器・試験機,02,恒温槽・冷熱衝撃試験機,01,本体,A
2J0202,2J,計測器・試験機,02,恒温槽・冷熱衝撃試験機,02,付帯機器,A
2J0250,2J,計測器・試験機,02,恒温槽・冷熱衝撃試験機,50,ソフト(恒温槽用),A
2J0290,2J,計測器・試験機,02,恒温槽・冷熱衝撃試験機,90,補修部品,A
2J0291,2J,計測器・試験機,02,恒温槽・冷熱衝撃試験機,91,移設・改造,A
2J0292,2J,計測器・試験機,02,恒温槽・冷熱衝撃試験機,92,修理・オ－バ－ホ－ル,A
2J0293,2J,計測器・試験機,02,恒温槽・冷熱衝撃試験機,93,二次側配線・配管,A
2J0295,2J,計測器・試験機,02,恒温槽・冷熱衝撃試験機,95,リース・レンタル,A
2J0299,2J,計測器・試験機,02,恒温槽・冷熱衝撃試験機,99,その他,A
2J0301,2J,計測器・試験機,03,生産用検査装置・テストベンチ,01,本体,A
2J0302,2J,計測器・試験機,03,生産用検査装置・テストベンチ,02,付帯機器,A
2J0350,2J,計測器・試験機,03,生産用検査装置・テストベンチ,50,ソフト(テストベンチ用),A
2J0390,2J,計測器・試験機,03,生産用検査装置・テストベンチ,90,補修部品,A
2J0391,2J,計測器・試験機,03,生産用検査装置・テストベンチ,91,移設・改造,A
2J0392,2J,計測器・試験機,03,生産用検査装置・テストベンチ,92,修理・オ－バ－ホ－ル,A
2J0393,2J,計測器・試験機,03,生産用検査装置・テストベンチ,93,二次側配線・配管,A
2J0395,2J,計測器・試験機,03,生産用検査装置・テストベンチ,95,リース・レンタル,A
2J0399,2J,計測器・試験機,03,生産用検査装置・テストベンチ,99,その他,A
2J0401,2J,計測器・試験機,04,長さ角度測定器,01,本体,A
2J0402,2J,計測器・試験機,04,長さ角度測定器,02,付帯機器,A
2J0450,2J,計測器・試験機,04,長さ角度測定器,50,ソフト(長さ角度測定器用),A
2J0490,2J,計測器・試験機,04,長さ角度測定器,90,補修部品,A
2J0491,2J,計測器・試験機,04,長さ角度測定器,91,移設・改造,A
2J0492,2J,計測器・試験機,04,長さ角度測定器,92,修理・オ－バ－ホ－ル,A
2J0493,2J,計測器・試験機,04,長さ角度測定器,93,二次側配線・配管,A
2J0495,2J,計測器・試験機,04,長さ角度測定器,95,リース・レンタル,A
2J0499,2J,計測器・試験機,04,長さ角度測定器,99,その他,A
2J0501,2J,計測器・試験機,05,力学・圧力測定器,01,本体,A
2J0502,2J,計測器・試験機,05,力学・圧力測定器,02,付帯機器,A
2J0550,2J,計測器・試験機,05,力学・圧力測定器,50,ソフト(力学・圧力測定器用),A
2J0590,2J,計測器・試験機,05,力学・圧力測定器,90,補修部品,A
2J0591,2J,計測器・試験機,05,力学・圧力測定器,91,移設・改造,A
2J0592,2J,計測器・試験機,05,力学・圧力測定器,92,修理・オ－バ－ホ－ル,A
2J0593,2J,計測器・試験機,05,力学・圧力測定器,93,二次側配線・配管,A
2J0595,2J,計測器・試験機,05,力学・圧力測定器,95,リース・レンタル,A
2J0599,2J,計測器・試験機,05,力学・圧力測定器,99,その他,A
2J0601,2J,計測器・試験機,06,温度測定器,01,本体,A
2J0602,2J,計測器・試験機,06,温度測定器,02,付帯機器,A
2J0650,2J,計測器・試験機,06,温度測定器,50,ソフト(温度測定器用),A
2J0690,2J,計測器・試験機,06,温度測定器,90,補修部品,A
2J0691,2J,計測器・試験機,06,温度測定器,91,移設・改造,A
2J0692,2J,計測器・試験機,06,温度測定器,92,修理・オ－バ－ホ－ル,A
2J0693,2J,計測器・試験機,06,温度測定器,93,二次側配線・配管,A
2J0695,2J,計測器・試験機,06,温度測定器,95,リース・レンタル,A
2J0699,2J,計測器・試験機,06,温度測定器,99,その他,A
2J0701,2J,計測器・試験機,07,電気磁気計測器,01,本体,A
2J0702,2J,計測器・試験機,07,電気磁気計測器,02,付帯機器,A
2J0750,2J,計測器・試験機,07,電気磁気計測器,50,ソフト(電気磁気計測器用),A
2J0790,2J,計測器・試験機,07,電気磁気計測器,90,補修部品,A
2J0791,2J,計測器・試験機,07,電気磁気計測器,91,移設・改造,A
2J0792,2J,計測器・試験機,07,電気磁気計測器,92,修理・オ－バ－ホ－ル,A
2J0793,2J,計測器・試験機,07,電気磁気計測器,93,二次側配線・配管,A
2J0795,2J,計測器・試験機,07,電気磁気計測器,95,リース・レンタル,A
2J0799,2J,計測器・試験機,07,電気磁気計測器,99,その他,A
2J0801,2J,計測器・試験機,08,信号・記録測定器,01,本体,A
2J0802,2J,計測器・試験機,08,信号・記録測定器,02,付帯機器,A
2J0850,2J,計測器・試験機,08,信号・記録測定器,50,ソフト(信号・記録測定器用),A
2J0890,2J,計測器・試験機,08,信号・記録測定器,90,補修部品,A
2J0891,2J,計測器・試験機,08,信号・記録測定器,91,移設・改造,A
2J0892,2J,計測器・試験機,08,信号・記録測定器,92,修理・オ－バ－ホ－ル,A
2J0893,2J,計測器・試験機,08,信号・記録測定器,93,二次側配線・配管,A
2J0895,2J,計測器・試験機,08,信号・記録測定器,95,リース・レンタル,A
2J0899,2J,計測器・試験機,08,信号・記録測定器,99,その他,A
2J0901,2J,計測器・試験機,09,回転・時間測定器,01,本体,A
2J0902,2J,計測器・試験機,09,回転・時間測定器,02,付帯機器,A
2J0950,2J,計測器・試験機,09,回転・時間測定器,50,ソフト(回転・時間測定器用),A
2J0990,2J,計測器・試験機,09,回転・時間測定器,90,補修部品,A
2J0991,2J,計測器・試験機,09,回転・時間測定器,91,移設・改造,A
2J0992,2J,計測器・試験機,09,回転・時間測定器,92,修理・オ－バ－ホ－ル,A
2J0993,2J,計測器・試験機,09,回転・時間測定器,93,二次側配線・配管,A
2J0995,2J,計測器・試験機,09,回転・時間測定器,95,リース・レンタル,A
2J0999,2J,計測器・試験機,09,回転・時間測定器,99,その他,A
2J1001,2J,計測器・試験機,10,成分分析測定器,01,本体,A
2J1002,2J,計測器・試験機,10,成分分析測定器,02,付帯機器,A
2J1050,2J,計測器・試験機,10,成分分析測定器,50,ソフト(成分分析測定器用),A
2J1090,2J,計測器・試験機,10,成分分析測定器,90,補修部品,A
2J1091,2J,計測器・試験機,10,成分分析測定器,91,移設・改造,A
2J1092,2J,計測器・試験機,10,成分分析測定器,92,修理・オ－バ－ホ－ル,A
2J1093,2J,計測器・試験機,10,成分分析測定器,93,二次側配線・配管,A
2J1095,2J,計測器・試験機,10,成分分析測定器,95,リース・レンタル,A
2J1099,2J,計測器・試験機,10,成分分析測定器,99,その他,A
2J1101,2J,計測器・試験機,11,流体測定器,01,本体,A
2J1102,2J,計測器・試験機,11,流体測定器,02,付帯機器,A
2J1150,2J,計測器・試験機,11,流体測定器,50,ソフト(流体測定器用),A
2J1190,2J,計測器・試験機,11,流体測定器,90,補修部品,A
2J1191,2J,計測器・試験機,11,流体測定器,91,移設・改造,A
2J1192,2J,計測器・試験機,11,流体測定器,92,修理・オ－バ－ホ－ル,A
2J1193,2J,計測器・試験機,11,流体測定器,93,二次側配線・配管,A
2J1195,2J,計測器・試験機,11,流体測定器,95,リース・レンタル,A
2J1199,2J,計測器・試験機,11,流体測定器,99,その他,A
2J1201,2J,計測器・試験機,12,光測定器,01,本体,A
2J1202,2J,計測器・試験機,12,光測定器,02,付帯機器,A
2J1250,2J,計測器・試験機,12,光測定器,50,ソフト(光測定器用),A
2J1290,2J,計測器・試験機,12,光測定器,90,補修部品,A
2J1291,2J,計測器・試験機,12,光測定器,91,移設・改造,A
2J1292,2J,計測器・試験機,12,光測定器,92,修理・オ－バ－ホ－ル,A
2J1293,2J,計測器・試験機,12,光測定器,93,二次側配線・配管,A
2J1295,2J,計測器・試験機,12,光測定器,95,リース・レンタル,A
2J1299,2J,計測器・試験機,12,光測定器,99,その他,A
2J1301,2J,計測器・試験機,13,音響・振動測定器,01,本体,A
2J1302,2J,計測器・試験機,13,音響・振動測定器,02,付帯機器,A
2J1350,2J,計測器・試験機,13,音響・振動測定器,50,ソフト(音響・振動測定器用),A
2J1390,2J,計測器・試験機,13,音響・振動測定器,90,補修部品,A
2J1391,2J,計測器・試験機,13,音響・振動測定器,91,移設・改造,A
2J1392,2J,計測器・試験機,13,音響・振動測定器,92,修理・オ－バ－ホ－ル,A
2J1393,2J,計測器・試験機,13,音響・振動測定器,93,二次側配線・配管,A
2J1395,2J,計測器・試験機,13,音響・振動測定器,95,リース・レンタル,A
2J1399,2J,計測器・試験機,13,音響・振動測定器,99,その他,A
2J9901,2J,計測器・試験機,99,計測器,01,本体,A
2J9902,2J,計測器・試験機,99,計測器,02,付帯機器,A
2J9950,2J,計測器・試験機,99,計測器,50,ソフト（計測器用）,A
2J9990,2J,計測器・試験機,99,計測器,90,補修部品,A
2J9991,2J,計測器・試験機,99,計測器,91,移設・改造,A
2J9992,2J,計測器・試験機,99,計測器,92,修理・オーバーホール（校正）,A
2J9993,2J,計測器・試験機,99,計測器,93,二次側配線・配管,A
2J9995,2J,計測器・試験機,99,計測器,95,リース・レンタル,A
2J9999,2J,計測器・試験機,99,計測器,99,その他,A
2N0101,2N,刃具・工具,01,ハイス切削工具,01,スロ－アウェイチップ,A
2N0102,2N,刃具・工具,01,ハイス切削工具,02,バイト,A
2N0103,2N,刃具・工具,01,ハイス切削工具,03,フライス,A
2N0104,2N,刃具・工具,01,ハイス切削工具,04,ドリル,A
2N0105,2N,刃具・工具,01,ハイス切削工具,05,リ－マ－,A
2N0106,2N,刃具・工具,01,ハイス切削工具,06,タップ・ダイス,A
2N0107,2N,刃具・工具,01,ハイス切削工具,07,歯切工具,A
2N0108,2N,刃具・工具,01,ハイス切削工具,08,ブロ－チ,A
2N0182,2N,刃具・工具,01,ハイス切削工具,82,再研磨,A
2N0183,2N,刃具・工具,01,ハイス切削工具,83,コーティング,A
2N0199,2N,刃具・工具,01,ハイス切削工具,99,その他,A
2N0201,2N,刃具・工具,02,超硬切削工具,01,スロ－アウェイチップ,A
2N0202,2N,刃具・工具,02,超硬切削工具,02,バイト,A
2N0203,2N,刃具・工具,02,超硬切削工具,03,フライス,A
2N0204,2N,刃具・工具,02,超硬切削工具,04,ドリル,A
2N0205,2N,刃具・工具,02,超硬切削工具,05,リ－マ－,A
2N0206,2N,刃具・工具,02,超硬切削工具,06,タップ・ダイス,A
2N0207,2N,刃具・工具,02,超硬切削工具,07,歯切工具,A
2N0208,2N,刃具・工具,02,超硬切削工具,08,ブロ－チ,A
2N0282,2N,刃具・工具,02,超硬切削工具,82,再研磨,A
2N0283,2N,刃具・工具,02,超硬切削工具,83,コーティング,A
2N0299,2N,刃具・工具,02,超硬切削工具,99,その他,A
2N0301,2N,刃具・工具,03,ダイヤモンド切削工具,01,スロ－アウェイチップ,A
2N0302,2N,刃具・工具,03,ダイヤモンド切削工具,02,バイト,A
2N0303,2N,刃具・工具,03,ダイヤモンド切削工具,03,フライス,A
2N0304,2N,刃具・工具,03,ダイヤモンド切削工具,04,ドリル,A
2N0305,2N,刃具・工具,03,ダイヤモンド切削工具,05,リ－マ－,A
2N0382,2N,刃具・工具,03,ダイヤモンド切削工具,82,再研磨,A
2N0383,2N,刃具・工具,03,ダイヤモンド切削工具,83,その他,A
2N0401,2N,刃具・工具,04,研削工具,01,普通砥石,A
2N0402,2N,刃具・工具,04,研削工具,02,ダイヤモンド・ＣＢＮ砥石,A
2N0403,2N,刃具・工具,04,研削工具,03,ダイヤモンドドレッサ－,A
2N0492,2N,刃具・工具,04,研削工具,92,再研磨・修理,A
2N0499,2N,刃具・工具,04,研削工具,99,その他,A
2N0501,2N,刃具・工具,05,研磨材,01,研磨材,A
2N0502,2N,刃具・工具,05,研磨材,02,ショット材,A
2N0599,2N,刃具・工具,05,研磨材,99,その他,A
2N0601,2N,刃具・工具,06,作業工具,01,手作業工具・ヤスリ・研磨紙,A
2N0602,2N,刃具・工具,06,作業工具,02,ハンダ付工具,A
2N0603,2N,刃具・工具,06,作業工具,03,作業用簡易機器,A
2N0604,2N,刃具・工具,06,作業工具,04,テーキン,A
2N0605,2N,刃具・工具,06,作業工具,05,トルクレンチ,A
2N0692,2N,刃具・工具,06,作業工具,92,修理,A
2N0699,2N,刃具・工具,06,作業工具,99,その他,A
2N0701,2N,刃具・工具,07,電動工具,01,電動工具,A
2N0792,2N,刃具・工具,07,電動工具,92,修理,A
2N0799,2N,刃具・工具,07,電動工具,99,その他,A
2N0801,2N,刃具・工具,08,エアー工具,01,エアー工具,A
2N0892,2N,刃具・工具,08,エアー工具,92,修理,A
2N0899,2N,刃具・工具,08,エアー工具,99,その他,A
2N0901,2N,刃具・工具,09,特殊工具,01,電極,A
2N0902,2N,刃具・工具,09,特殊工具,02,電極再研磨,A
2N0903,2N,刃具・工具,09,特殊工具,03,刃具保持具,A
2N0904,2N,刃具・工具,09,特殊工具,04,刃具保持具修理,A
2N0906,2N,刃具・工具,09,特殊工具,06,匣鉢,A
2N0992,2N,刃具・工具,09,特殊工具,92,修理,A
2N0999,2N,刃具・工具,09,特殊工具,99,その他,A
3K0101,3K,情報処理機器,01,ホストコンピュータ,01,本体,A
3K0102,3K,情報処理機器,01,ホストコンピュータ,02,周辺機器,A
3K0105,3K,情報処理機器,01,ホストコンピュータ,05,ハード保守,A
3K0190,3K,情報処理機器,01,ホストコンピュータ,90,専用補修部品,A
3K0191,3K,情報処理機器,01,ホストコンピュータ,91,移設・改造,A
3K0192,3K,情報処理機器,01,ホストコンピュータ,92,修理・オ－バ－ホ－ル,A
3K0193,3K,情報処理機器,01,ホストコンピュータ,93,二次側配線・配管,A
3K0195,3K,情報処理機器,01,ホストコンピュータ,95,リース・レンタル,A
3K0199,3K,情報処理機器,01,ホストコンピュータ,99,その他,A
3K0401,3K,情報処理機器,04,パソコン,01,本体,A
3K0402,3K,情報処理機器,04,パソコン,02,周辺機器,A
3K0405,3K,情報処理機器,04,パソコン,05,ハード保守,A
3K0407,3K,情報処理機器,04,パソコン,07,印刷機器,A
3K0409,3K,情報処理機器,04,パソコン,09,外部記憶媒体・NAS,A
3K0490,3K,情報処理機器,04,パソコン,90,専用補修部品,A
3K0492,3K,情報処理機器,04,パソコン,92,修理・オ－バ－ホ－ル,A
3K0495,3K,情報処理機器,04,パソコン,95,リース・レンタル,A
3K0499,3K,情報処理機器,04,パソコン,99,その他,A
3K0601,3K,情報処理機器,06,サーバ・システム,01,本体,A
3K0602,3K,情報処理機器,06,サーバ・システム,02,周辺機器,A
3K0605,3K,情報処理機器,06,サーバ・システム,05,ハード保守,A
3K0690,3K,情報処理機器,06,サーバ・システム,90,専用補修部品,A
3K0691,3K,情報処理機器,06,サーバ・システム,91,移設・改造,A
3K0692,3K,情報処理機器,06,サーバ・システム,92,修理・オ－バ－ホ－ル,A
3K0693,3K,情報処理機器,06,サーバ・システム,93,二次側配線・配管,A
3K0695,3K,情報処理機器,06,サーバ・システム,95,リース・レンタル,A
3K0699,3K,情報処理機器,06,サーバ・システム,99,その他,A
3K9901,3K,情報処理機器,99,その他,01,本体,A
3K9902,3K,情報処理機器,99,その他,02,周辺機器,A
3K9903,3K,情報処理機器,99,その他,03,セキュリティカメラ,A
3K9904,3K,情報処理機器,99,その他,04,セキュアカメラ,A
3K9905,3K,情報処理機器,99,その他,05,ハード保守,A
3K9911,3K,情報処理機器,99,その他,11,モバイル・スマート端末・携帯電話,A
3K9913,3K,情報処理機器,99,その他,13,モバイル端末付属品,A
3K9990,3K,情報処理機器,99,その他,90,専用補修部品,A
3K9991,3K,情報処理機器,99,その他,91,移設・改造,A
3K9992,3K,情報処理機器,99,その他,92,修理・オ－バ－ホ－ル,A
3K9993,3K,情報処理機器,99,その他,93,二次側配線・配管,A
3K9995,3K,情報処理機器,99,その他,95,リース・レンタル,A
3K9999,3K,情報処理機器,99,その他,99,その他,A
3M0101,3M,機械・電気・電子部品,01,機械油気圧部品,01,モジュール（インデックスユニット）,A
3M0102,3M,機械・電気・電子部品,01,機械油気圧部品,02,直動部品（スピンドルユニット）,A
3M0103,3M,機械・電気・電子部品,01,機械油気圧部品,03,回転部品（ベアリング）,A
3M0104,3M,機械・電気・電子部品,01,機械油気圧部品,04,伝導部品（ボールネジ・LMガイド）,A
3M0105,3M,機械・電気・電子部品,01,機械油気圧部品,05,減速機・変速機,A
3M0111,3M,機械・電気・電子部品,01,機械油気圧部品,11,ネジ・ボルト（リベット・ブッシュ・蝶番）,A
3M0112,3M,機械・電気・電子部品,01,機械油気圧部品,12,ピン・小物部品（カムフォロア）,A
3M0113,3M,機械・電気・電子部品,01,機械油気圧部品,13,連結リンク部品（シャフト）,A
3M0114,3M,機械・電気・電子部品,01,機械油気圧部品,14,位置決め部品（ギア）,A
3M0115,3M,機械・電気・電子部品,01,機械油気圧部品,15,配管部品（継手）,A
3M0116,3M,機械・電気・電子部品,01,機械油気圧部品,16,スプリング・衝撃保護部品（バネ）,A
3M0117,3M,機械・電気・電子部品,01,機械油気圧部品,17,フレーム・サポート部品（電動アクチュエータ）,A
3M0121,3M,機械・電気・電子部品,01,機械油気圧部品,21,搬送機器（チェーン・ロープ・ベルト）,A
3M0122,3M,機械・電気・電子部品,01,機械油気圧部品,22,空気圧機器,A
3M0123,3M,機械・電気・電子部品,01,機械油気圧部品,23,油圧機器,A
3M0124,3M,機械・電気・電子部品,01,機械油気圧部品,24,真空機器（パッキン・Oリング・シール）,A
3M0125,3M,機械・電気・電子部品,01,機械油気圧部品,25,吐出・塗布機器（水用ポンプ）,A
3M0126,3M,機械・電気・電子部品,01,機械油気圧部品,26,温調機器（真空ポンプ）,A
3M0150,3M,機械・電気・電子部品,01,機械油気圧部品,50,ソフト(機械油気圧部品用),A
3M0199,3M,機械・電気・電子部品,01,機械油気圧部品,99,その他,A
3M0201,3M,機械・電気・電子部品,02,電気・電子部品,01,センサー・スイッチ,A
3M0202,3M,機械・電気・電子部品,02,電気・電子部品,02,コネクタ・端子,A
3M0203,3M,機械・電気・電子部品,02,電気・電子部品,03,配線,A
3M0204,3M,機械・電気・電子部品,02,電気・電子部品,04,制禦機器（制御部品・シーケーンサー及び関連機器）,A
3M0205,3M,機械・電気・電子部品,02,電気・電子部品,05,電源回路,A
3M0211,3M,機械・電気・電子部品,02,電気・電子部品,11,通信機器,A
3M0212,3M,機械・電気・電子部品,02,電気・電子部品,12,検出機器,A
3M0213,3M,機械・電気・電子部品,02,電気・電子部品,13,照明・表示機器（設備用）,A
3M0214,3M,機械・電気・電子部品,02,電気・電子部品,14,基板（設備・研究用）,A
3M0215,3M,機械・電気・電子部品,02,電気・電子部品,15,半導体デバイス（設備・研究用）,A
3M0217,3M,機械・電気・電子部品,02,電気・電子部品,17,モ－タ－及び関連機器,A
3M0219,3M,機械・電気・電子部品,02,電気・電子部品,19,ヒーター,A
3M0250,3M,機械・電気・電子部品,02,電気・電子部品,50,ソフト（電気電子部品用）,A
3M0299,3M,機械・電気・電子部品,02,電気・電子部品,99,その他,A
