SUPPLIERCODE,SUPPLIERNO,SUPPLIERNAME,SHORTNAME,SITENAME,PAGES
10001B966,1001565,住友商事マシネックス株式会社 1001565,住友商事マシネックス,名古屋オフィス(材料),A
10001B967,1000103,TDK株式会社 1000103,ＴＤＫ,名古屋営業所(ドル),A
10001B968,1001262,株式会社鶴田商会 1001262,鶴田商会,本社,A
10001B969,1000971,株式会社フォーラムエンジニアリング 1000971,フォーラムエンジニアリング,大阪フォーラム,A
10001B970,1000895,株式会社デンソーテンスタッフ 1000895,デンソーテンスタッフ,本社,A
10001B971,1000445,マーレベーアジャパン株式会社 1000445,マーレベーアジャパン,小山テクニカルオフィス,A
10001B973,1000388,ニデックインスツルメンツ株式会社 1000388,ニデックインスツルメンツ,名古屋営業所(電子(旧三協精機製作所)),A
10001B974,1000890,株式会社デンソークリエイト 1000890,デンソークリエイト,本社,A
10001B975,1000823,株式会社スイレイ 1000823,スイレイ,本社,A
10001B976,1001970,不二電子工業株式会社 1001970,不二電子工業,本社工場,A
10001B978,1001799,東京パーツ工業株式会社 1001799,東京パーツ工業,本社工場.,A
10001B979,1001116,株式会社光製作所 1001116,光製作所,本社,A
10001B981,1000941,株式会社ニュートン 1000941,ニュートン,本社,A
10001B983,1001504,三協株式会社 1001504,三協,三協(愛光),A
10001B984,1001574,曙ブレーキ工業株式会社 1001574,曙ブレーキ,本社,A
10001B985,1000450,マブチモーター株式会社 1000450,マブチモーター,本社,A
10001B987,1000189,オーパック株式会社 1000189,オーパック,本社工場,A
10001B988,1001415,協同ゴム工販株式会社 1001415,協同ゴム工販,本社,A
10001B989,1001105,株式会社クラフティア 1001105,九電工,八幡営業所,A
10001B991,1001706,大洋産業株式会社 1001706,大洋産業,本社工場,A
10001B993,1000683,株式会社アルバック 1000683,アルバック,本社,A
10001B994,1000696,株式会社イデックスリテール福岡 1000696,イデックスリテール福岡,本社,A
10001B995,1001445,五興商事株式会社 1001445,五興商事,中部営業所,A
10001B996,1000853,株式会社タカギセイコー 1000853,タカギセイコー,浜松工場（磐田）,A
10001B997,1000054,Johnson Electric World Trade Limited 1000054,ＪＥ,本店,A
10001B999,1000910,株式会社デンソー九州 1000910,デンソー九州,ダミー（デンソー九州用),A
10001C000,1000309,ダミーコード 1000309,ダミー（テスト）,（テスト用）,A
10001C001,1002017,豊田通商株式会社 1002017,豊田通商,九州支店,A
10001C003,1001523,三菱自動車工業株式会社 1001523,三菱自動車工業,京都製作所(メーカ支給用),A
10001C005,1001145,株式会社三弘商会 1001145,三弘商会,本店,A
10001C006,1001980,富士通株式会社 1001980,富士通,Nagoya Hub,A
10001C007,1001564,住友商事ケミカル株式会社 1001564,住友商事ケミカル,名古屋支社,A
10001C008,1002120,【新規使用不可】光アルファクス 1002120,光アルファクス,本社,A
10001C010,1001514,三省物産株式会社 1001514,三省物産,名古屋支店,A
10001C011,1001163,株式会社小松精機工作所 1001163,小松精機工作所,本社工場,A
10001C012,1000362,トヨタテクニカルディベロップメント株式会社 1000362,トヨタテクニカルディベロップメント,本社,A
10001C013,1000226,ケイティケイ株式会社 1000226,ケイティケイ,名古屋支店,A
10001C014,1000367,トヨタ自動車株式会社 1000367,トヨタ自動車,三好工場,A
10001C015,1001949,伯東株式会社 1001949,伯東,本社,A
10001C016,1000478,メモリーテック株式会社 1000478,メモリーテック,本社,A
10001C017,1000850,株式会社ダイセキ 1000850,ダイセキ,名古屋事業所,A
10001C019,1000615,株式会社NDIAS 1000615,ＮＤＩＡＳ,本社,A
10001C020,1001695,大同化学株式会社 1001695,大同化学,本社,A
10001C022,1001424,玉野化成株式会社 1001424,玉野化成,本社,A
10001C026,1000272,ジャパンウェイスト株式会社 1000272,ジャパンウェイス,名古屋営業所,A
10001C027,1000295,ダイキン工業株式会社 1000295,ダイキン工業,本社,A
10001C028,1000108,TOPPAN株式会社 1000108,ＴＯＰＰＡＮ,本店,A
10001C029,1000665,株式会社アテック 1000665,アテック,本社,A
10001C030,1000078,NTN株式会社 1000078,ＮＴＮ,中日本支社,A
10001C031,1001835,東和電気株式会社 1001835,東和電気,名古屋支店,A
10001C032,1001814,東芝デバイス&ストレージ株式会社 1001814,東芝Ｄ＆Ｓ,名古屋支店,A
10001C034,1000079,NTP名古屋トヨペット株式会社 1000079,ＮＴＰ名古屋トヨペット,豊田土橋店,A
10001C035,1000079,NTP名古屋トヨペット株式会社 1000079,ＮＴＰ名古屋トヨペット,上重原店,A
10001C037,1000681,株式会社アルテクナ 1000681,アルテクナ,名古屋事業所,A
10001C038,1000932,株式会社ナスクスポーツ 1000932,ナスクスポーツ,営業窓口,A
10001C044,1001872,日東商事株式会社 1001872,日東商事,刈谷営業所,A
10001C045,1000254,シーシーアイ株式会社 1000254,シーシーアイ,本社,A
10001C046,1001877,日本アイ・ビー・エム株式会社 1001877,日本アイ・ビー・エム,名古屋(ソフト),A
10001C050,1001943,Astemo阪神株式会社 1001943,Ａｓｔｅｍｏ阪神,本社,A
10001C053,1001079,株式会社河合楽器製作所 1001079,河合楽器製作所,カワイ精密金属,A
10001C055,1000358,トヨタカローラ愛知株式会社 1000358,トヨタカローラ愛知,刈谷店,A
10001C057,1001143,株式会社三光製作所 1001143,三光製作所,本社,A
10001C058,1001222,株式会社対松堂 1001222,対松堂,豊川工場,A
10001C059,1001980,富士通株式会社 1001980,富士通,Fujitsu Uvance Kawasaki Tower,A
10001C067,1001800,東京フェライト製造株式会社 1001800,東京フェライト製造,本社,A
10001C068,1000750,株式会社キーレックス 1000750,キーレックス,本社,A
10001C072,1001836,東亞テクノガス株式会社 1001836,東亜テクノガス,名古屋支店,A
10001C073,1000162,エイセブプラス株式会社 1000162,エイセブプラス,豊田事業所,A
10001C076,1000808,株式会社ジェイ・サイエンス東海 1000808,ジェイ・サイエンス東海,本社,A
10001C077,1000221,グリーンシステム株式会社 1000221,グリーンシステム,名古屋支店,A
10001C078,1000645,株式会社YMD 1000645,ＹＭＤ,本社,A
10001C079,1000772,株式会社クロップス・クルー 1000772,クロップス・クルー,本社,A
10001C081,1000793,株式会社サニー技研 1000793,サニー技研,本社,A
10001C082,1000487,ユケン工業株式会社 1000487,ユケン工業,本社工場,A
10001C083,1001520,三菱ケミカル株式会社 1001520,三菱ケミカル,本社,A
10001C084,1000804,株式会社シークス 1000804,シークス,本社,A
10001C085,1000287,セリオ株式会社 1000287,セリオ,本社,A
10001C086,1000289,セントラルエンジニアリング株式会社 1000289,セントラルエンジニアリング,名古屋オフィス,A
10001C087,1000848,株式会社ダイキエンジニアリング 1000848,ダイキエンジニアリング,東海支社,A
10001C088,1000528,安積濾紙株式会社 1000528,安積濾紙,東京支店,A
10001C089,1000140,アマノ株式会社 1000140,アマノ,豊田支店,A
10001C093,1001656,浅井産業株式会社 1001656,浅井産業,名古屋支社(材料),A
10001C096,1001124,株式会社紅久 1001124,紅久,本社工場(屑代金入金用),A
10001C098,1001749,中立電機株式会社 1001749,中立電機,名古屋工場,A
10001C102,1001167,株式会社小野測器 1001167,小野測器,中部営業所,A
10001C104,1001370,株式会社落合商店 1001370,落合商店,本社,A
10001C107,1000343,トータルテクニカルソリューションズ株式会社 1000343,ＴＴＳ,本社,A
10001C108,1002013,豊田汽缶株式会社 1002013,豊田汽缶,営業窓口,A
10001C109,1001420,教育産業株式会社 1001420,教育産業,本社,A
10001C115,1002065,有限会社丸重田中商店 1002065,丸重田中商店,本社(屑代金入金用),A
10001C119,1000610,株式会社JVCケンウッド長野 1000610,ＪＶＣケンウッド長野,本社,A
10001C120,1000361,トヨタすまいるライフ株式会社 1000361,トヨタすまいるライフ,すまいる館,A
10001C124,1001648,石川管工株式会社 1001648,石川管工,本社,A
10001C126,1001501,三機工業株式会社 1001501,三機工業,中部支社,A
10001C128,1001466,高浜電工株式会社 1001466,高浜電工,営業窓口,A
10001C129,1001300,株式会社日さく 1001300,日さく,西日本支社,A
10001C130,1000917,株式会社トーエネック 1000917,トーエネック,岡崎支店刈谷営業所,A
10001C132,1000449,マツダ株式会社 1000449,マツダ,本社(メーカ支給用),A
10001C133,1000416,ヒューマンリソシア株式会社 1000416,ヒューマンリソシア,神戸支店,A
10001C135,1000342,トーカドエナジー株式会社 1000342,トーカドエナジー,大阪営業所,A
10001C138,1001983,扶桑工機株式会社 1001983,扶桑工機,本社・本社工場,A
10001C139,1001413,協伸工業株式会社 1001413,協伸工業,本社,A
10001C140,1001705,大有株式会社 1001705,大有,中部支店・中部製作所,A
10001C142,1000376,ナカバヤシ自動車工業株式会社 1000376,ナカバヤシ自動車工業,本社,A
10001C143,1001403,宮崎興業株式会社 1001403,宮崎興業,営業窓口,A
10001C144,1001146,株式会社三清社 1001146,三清社,本社,A
10001C145,1001149,株式会社山治紙業 1001149,山治紙業,本社,A
10001C147,1001796,東京システムズ株式会社 1001796,東京システムズ,名古屋事業所,A
10001C149,1001423,極東貿易株式会社 1001423,極東貿易,名古屋支店,A
10001C150,1001989,武田機工株式会社 1001989,武田機工,豊田営業所,A
10001C152,1001170,株式会社松江鉄工所 1001170,松江鉄工所,本社,A
10001C153,1000064,Littelfuseジャパン合同会社 1000064,Ｌｉｔｔｅｌｆｕｓｅジャパン,本社,A
10001C154,1001222,株式会社対松堂 1001222,対松堂,豊橋営業所,A
10001C155,1000516,愛知電機株式会社 1000516,愛知電機,本社,A
10001C157,1001211,株式会社川嶋 1001211,川嶋,本社(屑代金入金用),A
10001C161,1001375,株式会社鈴木室内装飾 1001375,鈴木室内装飾,本社,A
10001C162,1001730,中外電気工業株式会社 1001730,中外電気,東京本社,A
10001C164,1001540,三和電気土木工事株式会社 1001540,三和電気土木工事,豊田営業所,A
10001C165,1001537,三和シヤッター工業株式会社 1001537,三和シヤッター工業,本社,A
10001C166,1002030,本田技研工業株式会社 1002030,本田技研工業,栃木製作所(メーカ支給用),A
10001C167,1000297,ダイコー株式会社 1000297,ダイコー,名古屋営業所,A
10001C168,1002068,有限会社三起商会 1002068,三起商会,本社,A
10001C169,1002003,豊臣熱処理工業株式会社 1002003,豊臣熱処理工業,本社,A
10001C173,1001845,内山工業株式会社 1001845,内山工業,名古屋支店,A
10001C176,1001733,中光工業株式会社 1001733,中光工業,本社,A
10001C178,1000107,TOPPANエッジ株式会社 1000107,ＴＯＰＰＡＮエッジ,中部営業統括本部,A
10001C179,1001940,日野金属産業株式会社 1001940,日野金属産業,静岡西部営業所,A
10001C180,1001773,都築電気株式会社 1001773,都築電気,名古屋オフィス,A
10001C181,1001954,マザーサンヤチヨ・オートモーティブシステムズ株式会社 1001954,マザーサンヤチヨ・オートモーティブシステムズ,柏原工場,A
10001C183,1001881,日本エア・リキード合同会社 1001881,日本エアリキード,近畿支社,A
10001C184,1000991,株式会社マクニカ 1000991,マクニカ,本社,A
10001C185,1000667,株式会社アドバネクス 1000667,アドバネクス,中部オフィス,A
10001C187,1000951,株式会社パーカーコーポレーション 1000951,パーカーコーポレーション,大阪支店,A
10001C188,1001462,高砂熱学工業株式会社 1001462,高砂熱学工業,名古屋支店,A
10001C189,1001725,中央紙器工業株式会社 1001725,中央紙器工業,本社・工場,A
10001C190,1000505,リョービ株式会社 1000505,リョービ,名古屋営業所,A
10001C191,1001450,光洋マテリカ株式会社 1001450,光洋マテリカ,本社(屑代金入金用),A
10001C193,1001408,京浜精密工業株式会社 1001408,京浜精密工業,本社,A
10001C194,1000938,株式会社ニップラ 1000938,ニップラ,名古屋営業所,A
10001C196,1000627,株式会社RYODEN 1000627,ＲＹＯＤＥＮ,中日本支社,A
10001C197,1001404,宮崎精鋼株式会社 1001404,宮崎精鋼,本社工場,A
10001C202,1000749,株式会社かんでんエンジニアリング 1000749,かんでんエンジニアリング,東海支店豊田営業所,A
10001C203,1001811,東芝エレベータ株式会社 1001811,東芝エレベータ,中部支社,A
10001C204,1000741,株式会社カイジョー 1000741,カイジョー,関西販売,A
10001C206,1001529,三菱電機ビルソリューションズ株式会社 1001529,三菱電機ビルソリューションズ,中部支社三河支店,A
10001C208,1000305,タキゲン製造株式会社 1000305,タキゲン製造,名古屋支店,A
10001C209,1000471,ムトー精工株式会社 1000471,ムトー精工,本社,A
10001C212,1001130,株式会社国盛化学 1001130,国盛化学,本社・工場,A
10001C213,1001899,日本スタッドウェルディング株式会社 1001899,日本スタッドウェルディング,中部支社,A
10001C214,1001124,株式会社紅久 1001124,紅久,本社工場(デンソーワイパシステムズ)(屑代金入金用),A
10001C217,1001332,株式会社半谷製作所 1001332,半谷製作所,大府工場,A
10001C220,1000653,株式会社アイチコーポレーション 1000653,アイチコーポレーション,本社,A
10001C223,1000290,ソーダニッカ株式会社 1000290,ソーダニッカ,名古屋支店,A
10001C225,1001024,株式会社ヤマシナ 1001024,ヤマシナ,中部営業所,A
10001C229,1001571,住友理工株式会社 1001571,住友理工,小牧本社,A
10001C231,1001674,太榮株式会社 1001674,太榮,本店,A
10001C232,1000486,ユーシンSL株式会社 1000486,ユーシンＳＬ,愛知県稲沢本社,A
10001C233,1000090,SCSK株式会社 1000090,ＳＣＳＫ,豊洲本社,A
10001C234,1001273,株式会社東レリサーチセンター 1001273,東レリサーチセンター,名古屋営業部,A
10001C236,1001363,株式会社毎日映像音響システム 1001363,毎日映像音響システム,名古屋支社,A
10001C237,1000070,NECネッツエスアイ株式会社 1000070,ＮＥＣネッツエスアイ,中日本支社,A
10001C239,1000013,ASTI株式会社 1000013,ＡＳＴＩ,本社工場,A
10001C242,1000375,ナイス株式会社 1000375,ナイス,東海営業所,A
10001C244,1002030,本田技研工業株式会社 1002030,本田技研工業,埼玉製作所和光工場(メーカ支給用),A
10001C245,1000662,株式会社アステア 1000662,アステア,本社,A
10001C248,1001876,日邦産業株式会社 1001876,日邦産業,稲沢事業所,A
10001C249,1001195,株式会社生方製作所 1001195,生方製作所,本社・工場,A
10001C250,1001609,新日本工業株式会社 1001609,新日本工業,本社,A
10001C251,1000345,トーテックフロンティア株式会社 1000345,トーテックフロンティア,本社,A
10001C252,1000863,株式会社チゥキヨー 1000863,チゥキヨー,本社/江南工場,A
10001C253,1000418,ヒルタ工業株式会社 1000418,ヒルタ工業,本社,A
10001C257,1000580,加藤謙鉄工株式会社 1000580,加藤謙鉄工,本社,A
10001C258,1000264,シチズンファインデバイス株式会社 1000264,シチズンファイン,本社,A
10001C260,1000027,DENSO PHILIPPINES CO 1000027,ＤＮＰＨ,DNPH(輸入),A
10001C261,1001236,株式会社大野光 1001236,大野光,本社,A
10001C262,1001200,株式会社誠信電機商会 1001200,誠信電機商会,営業窓口,A
10001C264,1000302,ダイハツ工業株式会社 1000302,ダイハツ工業,本社(メーカ支給用),A
10001C265,1001421,興国インテック株式会社 1001421,興国インテック,名古屋営業所,A
10001C266,1001483,三井金属ダイカスト株式会社 1001483,三井金属ダイカスト,名古屋営業所,A
10001C269,1001284,株式会社東郷 1001284,トウゴウ,営業窓口,A
10001C270,1001683,大根田電機株式会社 1001683,大根田電機,中条工場,A
10001C271,1000975,株式会社プルータス 1000975,プルータス,本社,A
10001C273,1001752,超音波工業株式会社 1001752,超音波工業,名古屋支店,A
10001C274,1001419,協和工業株式会社 1001419,協和工業,本社工場,A
10001C275,1000666,株式会社アドヴィックス 1000666,アドヴィックス,本社(メーカ支給用),A
10001C277,1000033,DMNC 1000033,ＤＭＮＣ,DMNC(輸入),A
10001C280,1000758,株式会社きんでん 1000758,きんでん,中部支社,A
10001C281,1001633,正和工業株式会社 1001633,正和工業,本社,A
10001C283,1001866,日設工業株式会社 1001866,日設工業,本社,A
10001C284,1001879,日本アプティブコネクションシステムズサービシス株式会社 1001879,日本アプティブ,本社,A
10001C288,1000892,株式会社デンソーソリューション 1000892,デンソーソリューション,北海道支社,A
10001C289,1000216,キョーラク株式会社 1000216,キョーラク株式会社,名古屋支店,A
10001C290,1000279,シルバーロッド株式会社 1000279,シルバーロッド,本社,A
10001C291,1001575,小山鋼材株式会社 1001575,小山鋼材,名古屋営業所,A
10001C293,1002099,烟台首鋼電装有限公司 1002099,ＹＳＤ,YSD(輸入),A
10001C294,1000468,ミヤマ精工株式会社 1000468,ミヤマ精工,本社・工場,A
10001C295,1001246,株式会社中電工 1001246,中電工,広島統括支社,A
10001C297,1000046,I-PEX株式会社 1000046,Ｉ－ＰＥＸ,横浜オフィス,A
10001C298,1000032,DMHZ(電装(杭州)有限公司) 1000032,ＤＭＨＺ,DMHZ(輸入),A
10001C299,1002098,澤藤電機株式会社 1002098,澤藤電機,本社・新田工場,A
10001C302,1000014,ASブレーキシステムズ株式会社 1000014,ＡＳブレーキシステムズ,本社(メーカ支給用),A
10001C304,1002017,豊田通商株式会社 1002017,豊田通商,名古屋本社(ドル)(銅・白金地金),A
10001C305,1001659,双日株式会社 1001659,双日,本社(10日払い),A
10001C306,1001387,丸紅株式会社 1001387,丸紅,本社(ドル)(アルミ新地金),A
10001C310,1001490,三井物産株式会社 1001490,三井物産,本社(ドル),A
10001C312,1001566,住友商事株式会社 1001566,住友商事,本社(ドル)(アルミ新地金),A
10001C314,1001354,株式会社豊通マシナリー 1001354,豊通マシナリー,本社,A
10001C315,1001446,五合株式会社 1001446,五合,名古屋支店,A
10001C316,1001953,八洲商事株式会社 1001953,八洲商事,本社,A
10001C317,1000953,株式会社ハイレックスコーポレーション 1000953,ハイレックスコーポレーション,宝塚工場,A
10001C318,1001335,株式会社不二越 1001335,不二越,名古屋支店,A
10001C321,1000504,リファインテック株式会社 1000504,リファインテック,名古屋営業所,A
10001C323,1001915,日本メンテナンス株式会社 1001915,日本メンテナンス,刈谷工事部,A
10001C325,1001627,水三島紙工株式会社 1001627,水三島紙工,名古屋支店,A
10001C326,1000777,株式会社ゴーショー 1000777,ゴーショー,名古屋営業所,A
10001C327,1000929,株式会社トヨテック 1000929,トヨテック,本社,A
10001C328,1001718,竹岸産業株式会社 1001718,竹岸産業,本社,A
10001C329,1001988,武蔵精密工業株式会社 1001988,武蔵精密工業,本社,A
10001C331,1001322,株式会社日立ハイテク 1001322,日立ハイテク,中部支店(電子),A
10001C332,1001794,東京エレクトロン株式会社 1001794,東京エレクトロン,本社,A
10001C333,1000911,株式会社デンソー三共 1000911,デンソー三共,本社,A
10001C334,1000969,株式会社フェローテックマテリアルテクノロジーズ 1000969,フェローテックマテリアルテクノロジーズ,本社,A
10001C335,1001634,清水建設株式会社 1001634,清水建設,名古屋支店,A
10001C336,1000739,株式会社オリオン 1000739,オリオン,本社,A
10001C338,1001505,三交企業株式会社 1001505,三交企業,本社,A
10001C339,1001762,天津電装電子有限公司 1001762,ＴＤＥ,TDE(輸入),A
10001C340,1001217,株式会社村上開明堂 1001217,村上開明堂,藤枝工場,A
10001C342,1000958,株式会社バルカー 1000958,バルカー,本社,A
10001C344,1001029,株式会社ユーネットランス 1001029,ユーネットランス,みよし物流センター,A
10001C345,1000493,ユニアデックス株式会社 1000493,ユニアデックス,中部支店,A
10001C346,1000887,株式会社デンソーエスアイ 1000887,デンソーエスアイ,本社,A
10001C347,1000203,カリツー株式会社 1000203,カリツー,本社,A
10001C350,1001688,大成建設株式会社 1001688,大成建設,中部支店三河営業所,A
10001C351,1001550,山清産業株式会社 1001550,山清産業,営業窓口,A
10001C352,1000236,オモビオ株式会社 1000236,オモビオ,浜北工場,A
10001C353,1000715,株式会社エスユーエス 1000715,エスユーエス,名古屋オフィス,A
10001C354,1000483,ヤマハ株式会社 1000483,ヤマハ,豊岡工場,A
10001C355,1001891,日本ケミカル工業株式会社 1001891,日本ケミカル,本社,A
10001C356,1001030,株式会社ユニオンシンク 1001030,ユニオンシンク,本社,A
10001C358,1002049,野口精機株式会社 1002049,野口精機,東松山工場,A
10001C359,1000523,旭工精株式会社 1000523,旭工精,名古屋営業所,A
10001C363,1001606,新日工業株式会社 1001606,新日工業,本社,A
10001C364,1001182,株式会社神谷製作所 1001182,神谷製作所,営業窓口,A
10001C365,1002026,北川工業株式会社 1002026,北川工業,名古屋支店,A
10001C366,1002112,【新規使用不可】デンソーユニティサービス 1002112,デンソーユニティサービス,本社,A
10001C367,1001393,丸和機械株式会社 1001393,丸和機械,本社,A
10001C370,1001923,日本軽金属株式会社 1001923,日本軽金属,本社(加工),A
10001C372,1000206,キーサイト・テクノロジー株式会社 1000206,キーサイト・テクノロジー,本社,A
10001C373,1001874,日比野工業株式会社 1001874,日比野工業,本社工場,A
10001C374,1000368,トヨタ車体株式会社 1000368,トヨタ車体,本社(メーカ支給用),A
10001C375,1000060,KISCO株式会社 1000060,ＫＩＳＣＯ,大阪本社,A
10001C376,1001162,株式会社小糸製作所 1001162,小糸製作所,豊田支店,A
10001C378,1001171,株式会社松田電機工業所 1001171,松田電機工業所,本社工場,A
10001C379,1000833,株式会社スリーボンド 1000833,スリーボンド,岡崎支店,A
10001C380,1001958,美濃工業株式会社 1001958,美濃工業,本社,A
10001C381,1001385,丸五ゴム工業株式会社 1001385,丸五ゴム工業,倉敷事業所,A
10001C382,1001172,株式会社松尾製作所 1001172,松尾製作所,本社,A
10001C383,1000892,株式会社デンソーソリューション 1000892,デンソーソリューション,本社(澤藤 メーカ支給用),A
10001C386,1001008,株式会社ミライズテクノロジーズ 1001008,ミライズテクノロジーズ,本社,A
10001C387,1001074,株式会社加藤製作所 1001074,加藤製作所,本社工場(B813とは別会社),A
10001C388,1000304,タカハタプレシジョン山梨株式会社 1000304,タカハタプレシジョン山梨,本社・境川工場,A
10001C389,1000905,株式会社デンソーロジテム 1000905,デンソーロジテム,本社・高棚事業所,A
10001C391,1000781,株式会社コジマ 1000781,コジマ,本社刈谷工場,A
10001C393,1001850,日亜化学工業株式会社 1001850,日亜化学工業,名古屋営業所,A
10001C394,1001895,日本サーモディスク株式会社 1001895,日本サーモディスク,本社,A
10001C396,1000147,アルプスアルパイン株式会社 1000147,アルプスアルパイン,名古屋営業所,A
10001C397,1001913,日本ヒューレット・パッカード合同会社 1001913,日本ヒューレット・パッカード,豊田営業所,A
10001C398,1000419,ヒロセ電機株式会社 1000419,ヒロセ電機,刈谷営業所,A
10001C399,1000881,株式会社デンソーEMCエンジニアリングサービス 1000881,デンソーＥＭＣエンジニアリングサービス,本社,A
10001C400,1002020,豊洋精工株式会社 1002020,豊洋精工,北九州工場,A
10001C402,1001307,株式会社日進PREVO 1001307,日進ＰＲＥＶＯ,千歳工場,A
10001C403,1001531,三菱電機株式会社 1001531,三菱電機,中部支社,A
10001C404,1001956,磐田電工株式会社 1001956,磐田電工,本社,A
10001C405,1001949,伯東株式会社 1001949,伯東,名古屋支店(設備),A
10001C406,1001454,巧雅堂印店 1001454,巧雅堂印店,営業窓口,A
10001C407,1000776,株式会社ゴーシュー 1000776,ゴーシュー,本社,A
10001C408,1000123,アイシン高丘株式会社 1000123,アイシン高丘,本社,A
10001C409,1001719,竹中産業株式会社 1001719,竹中産業,名古屋営業所(ガスプラント専用),A
10001C410,1002035,名古屋科学機器株式会社 1002035,名古屋科学機器,本社(設備),A
10001C411,1001259,株式会社鳥羽洋行 1001259,鳥羽洋行,名古屋営業所,A
10001C413,1001871,日鉄精圧品株式会社 1001871,日鉄精圧品,本社,A
10001C414,1000160,イオ　インダストリー株式会社 1000160,イオ　インダストリー,本社工場,A
10001C415,1000698,株式会社イノアックコーポレーション 1000698,イノアック,桜井事業所,A
10001C416,1002030,本田技研工業株式会社 1002030,本田技研工業,鈴鹿製作所(メーカ支給用),A
10001C418,1001855,日鋼YPK商事株式会社 1001855,日鋼ＹＰＫ商事,中部支店,A
10001C419,1000194,オハラ樹脂工業株式会社 1000194,オハラ樹脂,本社,A
10001C421,1001902,日本ソルベイ株式会社 1001902,日本ソルベイ,本社,A
10001C422,1001004,株式会社ミダック 1001004,ミダック,本社,A
10001C423,1000726,株式会社エンプラス 1000726,エンプラス,名古屋営業所,A
10001C425,1000135,アデコ株式会社 1000135,アデコ,刈谷支社,A
10001C427,1000830,株式会社スタッフサービス 1000830,スタッフサービス,本社,A
10001C428,1001347,株式会社放電精密加工研究所 1001347,放電精密加工研究所,小牧事業所,A
10001C429,1000692,株式会社イケックス工業 1000692,イケックス工業,本社,A
10001C431,1000923,株式会社トヨタエンタプライズ 1000923,トヨタエンタプライズ,本社,A
10001C432,1000068,NDSインフォス株式会社 1000068,ＮＤＳインフォス,本社,A
10001C433,1000955,株式会社パソナ 1000955,パソナ,名駅,A
10001C434,1000401,パーソルテンプスタッフ株式会社 1000401,パーソルテンプスタッフ,刈谷オフィス,A
10001C435,1000455,マンパワーグループ株式会社 1000455,マンパワーグループ,三河支店,A
10001C436,1001524,三菱重工業株式会社 1001524,三菱重工業,枇杷島工場,A
10001C439,1001035,株式会社リクルートスタッフィング 1001035,リクルートスタッフィング,名古屋オフィス,A
10001C440,1000258,ジェコー株式会社 1000258,ジェコー,営業窓口,A
10001C441,1000870,株式会社テクトロニクス&フルーク 1000870,テクトロニクス,本社,A
10001C442,1000424,フェンリル株式会社 1000424,フェンリル,大阪本社,A
10001C443,1000888,株式会社デンソーエムテック 1000888,デンソーエムテック,本社,A
10001C444,1001459,広島アルミニウム工業株式会社 1001459,広島アルミニウム工業,本社,A
10001C447,1000330,デンソー メキシコ. 1000330,ＤＮＭＸ,DNMX(輸入),A
10001C450,1000129,アクセンチュア株式会社 1000129,アクセンチュア,本社,A
10001C451,1000904,株式会社デンソーリマニ 1000904,デンソーリマニ,本社,A
10001C453,1000519,渥美浜松株式会社 1000519,渥美浜松,浜松工場,A
10001C454,1001463,高松機械工業株式会社 1001463,高松機械工業,本社・工場,A
10001C455,1000495,ユニクラフトナグラ株式会社 1000495,ユニクラフトナグラ,本社,A
10001C456,1002045,明友エアマチック株式会社 1002045,明友エアマチック,本社,A
10001C457,1001857,日産自動車株式会社 1001857,日産自動車,本社(メーカ支給用),A
10001C460,1001873,日発販売株式会社 1001873,日発販売,名古屋支店,A
10001C462,1001887,日本カノマックス株式会社 1001887,日本カノマックス,本社,A
10001C463,1000554,稲畑産業株式会社 1000554,稲畑産業,名古屋支店,A
10001C464,1001973,富士ソフト株式会社 1001973,富士ソフト,本社,A
10001C465,1000259,シェフラージャパン株式会社 1000259,シェフラージャパン,本社,A
10001C466,1000883,株式会社デンソーアイティーラボラトリ 1000883,デンソーアイティーラボラトリ,本社,A
10001C468,1000498,リコーエレメックス株式会社 1000498,リコーエレメックス,本社,A
10001C469,1000390,ニデックパワートレインシステムズ株式会社 1000390,ニデックパワートレインシステムズ,本社,A
10001C471,1001828,東洋ファスナー株式会社 1001828,東洋ファスナー,本社,A
10001C472,1000120,アイシンシロキ株式会社 1000120,アイシンシロキ,本社,A
10001C473,1000785,株式会社コロナ 1000785,コロナ,本社,A
10001C474,1000866,株式会社ツルタ製作所 1000866,ツルタ製作所,本社・刈谷工場,A
10001C475,1001863,日清紡メカトロニクス株式会社 1001863,日清紡メカトロニクス,本店,A
10001C476,1000458,ミシガンオートモーティブコンプレッサイン 1000458,ＭＡＣＩ,MACI(輸入),A
10001C479,1001534,三洋貿易株式会社 1001534,三洋貿易,本店,A
10001C480,1000215,きょう誠電装(重慶)有限公司 1000215,ＧＣＤＮ,GCDN(輸入),A
10001C481,1000809,株式会社ジェイテクト 1000809,ジェイテクト,奈良工場(メーカ支給用),A
10001C485,1001231,株式会社大川商会 1001231,大川商会,本社,A
10001C492,1000334,デンソーマニュファクチャリングイタリア 1000334,ＤＭＩＴ,DMIT(輸入),A
10001C493,1001657,双信電機株式会社 1001657,双信電機,本社,A
10001C494,1000098,SWCC株式会社 1000098,ＳＷＣＣ,中部支店,A
10001C495,1001371,株式会社隆設計 1001371,隆設計,本社,A
10001C497,1001704,大野精工株式会社 1001704,大野精工,本社・工場,A
10001C500,1000337,デンソーマニュファクチャリングハンガリー 1000337,ＤＭＨＵ,DMHU(輸入),A
10001C501,1000782,株式会社コバテック 1000782,コバテック,愛知工場,A
