SUPPLIERCODE,SUPPLIERNO,SUPPLIERNAME,SHORTNAME,SITENAME,PAGES
10001B104,1000566,奥野工業株式会社 1000566,奥野工業株式会社,本社,A
10001B105,1000191,オザワ科学株式会社 1000191,オザワ科学,刈谷営業所,A
10001B106,1001957,尾張精機株式会社 1001957,尾張精機,本社・尾張旭工場,A
10001B109,1000333,デンソーテクノ株式会社 1000333,デンソーテクノ,本社,A
10001B111,1000897,株式会社デンソーネクスト 1000897,デンソーネクスト,本社,A
10001B113,1000193,オノウチ精工株式会社 1000193,オノウチ精工,本社,A
10001B114,1000110,TOWA株式会社 1000110,ＴＯＷＡ,本社,A
10001B116,1000293,ダイキヤスト東和産業株式会社 1000293,ダイキヤスト東和産業,本社,A
10001B117,1001702,大豊産業株式会社 1001702,大豊産業,本社(屑代金入金用),A
10001B118,1002017,豊田通商株式会社 1002017,豊田通商,豊田スチールセンター,A
10001B119,1001910,日本ビジネスシステムズ株式会社 1001910,ＪＢＳ,本社,A
10001B120,1000585,笠置産業株式会社 1000585,笠置産業,本社,A
10001B121,1001950,柏工業株式会社 1001950,柏工業,本社工場,A
10001B122,1001563,住友商事グローバルメタルズ株式会社 1001563,住友商事グローバルメタルズ,中部支社,A
10001B123,1002057,有限会社アピネス 1002057,アピネス,豊橋工場,A
10001B125,1000609,株式会社JVCケンウッド 1000609,ＪＶＣケンウッド,八王子事業所,A
10001B126,1000269,シャープ株式会社 1000269,シャープ,中部統轄営業部,A
10001B127,1000885,株式会社デンソーエアクール 1000885,デンソーエアクール,穂高本社工場,A
10001B129,1001781,東レ株式会社 1001781,東レ,名古屋支店,A
10001B130,1001088,株式会社亀山製作所 1001088,亀山製作所,本社,A
10001B131,1000444,マーポス株式会社 1000444,マーポス,中日本営業部,A
10001B132,1001379,萱野工業株式会社 1001379,萱野工業,本社,A
10001B133,1002037,名光機器株式会社 1002037,名光機器,安城営業所,A
10001B135,1000788,株式会社サーテックカリヤ 1000788,サーテックカリヤ,本社,A
10001B137,1000204,かりや愛知中央生活協同組合 1000204,かりや愛知中央生協,営業窓口,A
10001B138,1000452,まるひ建設株式会社 1000452,まるひ建設,本店,A
10001B140,1001388,丸紅情報システムズ株式会社 1001388,丸紅情報システムズ,名古屋支店,A
10001B141,1000050,JFE商事株式会社 1000050,ＪＦＥ商事,名古屋支社(旧川鉄商事),A
10001B142,1001386,丸紅テクノシステム株式会社 1001386,丸紅テクノシステム,名古屋営業所,A
10001B143,1000669,株式会社アドバンテスト 1000669,アドバンテスト,販売支援部,A
10001B145,1002030,本田技研工業株式会社 1002030,本田技研工業,部品部(メーカ支給用),A
10001B146,1001941,日野自動車株式会社 1001941,日野自動車,本社(メーカ支給用),A
10001B147,1000480,ヤマセ電気株式会社 1000480,ヤマセ電気,美里工場,A
10001B149,1000050,JFE商事株式会社 1000050,ＪＦＥ商事,名古屋支社,A
10001B150,1001500,三岐通運株式会社 1001500,三岐通運,A・P第一事業部,A
10001B151,1001248,株式会社中部 1001248,中部,本社,A
10001B152,1001504,三協株式会社 1001504,三協,三協(岡田製作所),A
10001B157,1002048,木曾興業株式会社 1002048,木曽興業,刈谷支店,A
10001B158,1001073,株式会社岡部マイカ工業所 1001073,岡部マイカ工業,大阪営業所,A
10001B159,1001397,岐阜商事株式会社 1001397,岐阜商事,刈谷支店,A
10001B160,1001656,浅井産業株式会社 1001656,浅井産業,名古屋支社(電子),A
10001B161,1001698,大同特殊鋼株式会社 1001698,大同特殊鋼,本社(屑代金入金用),A
10001B162,1002058,有限会社オリオン金型 1002058,オリオン金型,営業窓口,A
10001B163,1001407,京三電機株式会社 1001407,京三電機,本社,A
10001B164,1000426,フォスター電機株式会社 1000426,フォスター電機,静岡オフィス,A
10001B165,1001599,新英金属株式会社 1001599,新英金属,営業窓口(屑代金入金用),A
10001B166,1000222,クリエーションライン株式会社 1000222,クリエーションライン,本社,A
10001B167,1000902,株式会社デンソープレステック 1000902,デンソープレステック,本社・豊川工場,A
10001B168,1000025,DENSO KOREA CORPORA 1000025,ＤＮＫＲ,DNKR(輸入),A
10001B170,1000328,デンソー タイランド. 1000328,ＤＮＴＨ,DNTH(輸入),A
10001B171,1001859,日昌株式会社 1001859,日昌,名古屋事業所,A
10001B172,1001096,株式会社共和電業 1001096,共和電業,豊田営業所,A
10001B174,1001428,金星工業株式会社 1001428,金星工業,本社,A
10001B176,1001431,桑名エンヂニアリングプラスチック株式会社 1001431,桑名エンヂニアリング,本社,A
10001B177,1001604,新東エンジニアリング株式会社 1001604,新東エンジリアリング,本社,A
10001B181,1001780,東レプラスチック精工株式会社 1001780,東レプラスチック精工,名古屋営業所,A
10001B182,1001510,三重金属工業株式会社 1001510,三重金属,本社・津工場,A
10001B183,1001107,株式会社栗田商会 1001107,栗田商会,刈谷営業所,A
10001B184,1000224,クレトイシ株式会社 1000224,クレトイシ,豊田営業所,A
10001B185,1001470,黒田電気株式会社 1001470,黒田電気,東京本社,A
10001B186,1001449,光精工株式会社 1001449,光精工,本社,A
10001B187,1000771,株式会社クロカワ 1000771,クロカワ,営業窓口,A
10001B188,1001475,坂口化学株式会社 1001475,坂口化学,本社,A
10001B189,1000219,クマガイ特殊鋼株式会社 1000219,クマガイ特殊鋼,本社,A
10001B190,1001807,東広商事株式会社 1001807,東広商事,本社,A
10001B192,1001011,株式会社メイチュー 1001011,メイチュー,本社,A
10001B193,1001632,星和化成株式会社 1001632,星和化成,本社・工場,A
10001B196,1000809,株式会社ジェイテクト 1000809,ジェイテクト,中日本支社,A
10001B197,1000886,株式会社デンソーエアシステムズ 1000886,デンソーエアシステムズ,本社・安城工場,A
10001B199,1000780,株式会社コーワ 1000780,コーワ,本社,A
10001B200,1000865,株式会社ツガミ 1000865,ツガミ,名古屋営業所,A
10001B201,1001416,協同紙工株式会社 1001416,協同紙工,本社工場,A
10001B203,1001436,兼松株式会社 1001436,兼松,東京本社,A
10001B205,1001076,株式会社加藤電器製作所 1001076,加藤電器製作所,統括本部,A
10001B207,1001580,小島プレス工業株式会社 1001580,小島プレス,本社,A
10001B208,1002096,寿金属工業株式会社 1002096,寿金属工業,本社,A
10001B210,1002095,和田山精機株式会社 1002095,和田山精機,本社,A
10001B211,1000232,コニシ株式会社 1000232,コニシ,名古屋支店,A
10001B212,1000172,イトモル株式会社 1000172,イトモル,本社,A
10001B213,1001581,小林クリエイト株式会社 1001581,小林クリエイト,名古屋オフィス,A
10001B214,1001576,小松開発工業株式会社 1001576,小松開発工業,物流資材事業部,A
10001B215,1000235,ゴムノイナキ株式会社 1000235,ゴムノイナキ,大高本社,A
10001B216,1001565,住友商事マシネックス株式会社 1001565,住友商事マシネックス,名古屋オフィス(主担当:設備・施設),A
10001B217,1001092,株式会社久世ベローズ工業所 1001092,久世ベローズ工業所,本社,A
10001B219,1001518,三菱ガス化学トレーディング株式会社 1001518,三菱ガス化学トレーディング,本社,A
10001B220,1000711,株式会社エイチアンドエフ 1000711,Ｈ＆Ｆ,中部支社,A
10001B222,1000775,株式会社コーアツ 1000775,コーアツ,名古屋支社,A
10001B223,1001434,兼松エレクトロニクス株式会社 1001434,兼松エレクトロニクス,営業窓口,A
10001B224,1001006,株式会社ミノグループ 1001006,ミノグループ,名古屋営業所,A
10001B225,1001150,株式会社山城産業 1001150,山城産業,本社,A
10001B226,1001734,中西電機工業株式会社 1001734,中西電機工業,刈谷ショールーム,A
10001B227,1001829,東洋研磨材工業株式会社 1001829,東洋研磨材工業,名古屋営業所,A
10001B228,1001480,榊原精器株式会社 1001480,榊原精器,営業窓口,A
10001B229,1001479,榊原株式会社 1001479,榊原,本社,A
10001B230,1001557,酒井テーキン株式会社 1001557,酒井テーキン,本社,A
10001B231,1001472,佐久間特殊鋼株式会社 1001472,佐久間特殊鋼,本社(材料),A
10001B232,1001097,株式会社協伸 1001097,協伸,東北営業所,A
10001B233,1001481,笹徳印刷株式会社 1001481,笹徳印刷,本社,A
10001B234,1001467,国光カーボン工業株式会社 1001467,国光カーボン工業,本社,A
10001B235,1000857,株式会社ダック技建 1000857,ダック技建,本社,A
10001B236,1000213,キヤノン株式会社 1000213,キヤノン,本社,A
10001B237,1002114,【新規使用不可】ＩＨＩ物流産業システム 1002114,ＩＨＩ物流産業システム,本社,A
10001B238,1002021,豊和化成株式会社 1002021,豊和化成,本社,A
10001B239,1000238,サーラエナジー株式会社 1000238,サーラエナジー,東三河支社,A
10001B241,1000460,ミタニマイクロニクス株式会社 1000460,ミタニマイクロニクス,本社,A
10001B242,1001140,株式会社三協 1001140,三協,本社,A
10001B243,1000245,サンエイ株式会社 1000245,サンエイ,営業窓口,A
10001B245,1000262,シシド静電気株式会社 1000262,シシド静電気,名古屋営業所,A
10001B246,1001615,森村商事株式会社 1001615,森村商事,名古屋支社,A
10001B247,1001538,三和マテリアル株式会社 1001538,三和マテリアル,名古屋支店,A
10001B248,1001919,ACS株式会社 1001919,ＡＣＳ,豊田営業所,A
10001B249,1001539,三和精機株式会社 1001539,三和精機,本社 (名古屋営業所),A
10001B250,1001249,株式会社中部シイアイシイ研究所 1001249,中部ＣＩＣ,本社,A
10001B252,1001535,三立興産株式会社 1001535,三立興産,三河支店,A
10001B253,1000247,サンコー商事株式会社 1000247,サンコー商事,刈谷支店,A
10001B254,1001009,株式会社ムラカミ 1001009,ムラカミ,稲沢事業所,A
10001B255,1001441,古山精機株式会社 1001441,古山精機,本社,A
10001B256,1001144,株式会社三弘 1001144,三弘,本店・本社営業部,A
