COLUMN_NAME
購買依頼BU
品目コード
商品名
メーカ型式
グローバル企業コード
外部システム連携サイトコード
サプライヤ名
サプライヤサイトコード
サプライヤサイト名
品目カテゴリ
単位コード
単価
通貨コード
包括購買契約番号
包括購買契約明細番号
包括購買契約開始日
包括購買契約終了日
外部システム品番
品目タイプ
POヘッダー文字型予約ローカルエリア1
POヘッダー文字型予約ローカルエリア2
POヘッダー文字型予約ローカルエリア3
POヘッダー文字型予約ローカルエリア4
POヘッダー文字型予約ローカルエリア5
POヘッダー数字型予約ローカルエリア1
POヘッダー数字型予約ローカルエリア2
POヘッダー数字型予約ローカルエリア3
POヘッダー日付型予約ローカルエリア1
POヘッダー日付型予約ローカルエリア2
POヘッダー日付型予約ローカルエリア3
POヘッダー日付時間型予約ローカルエリア1
POヘッダー日付時間型予約ローカルエリア2
POヘッダー日付時間型予約ローカルエリア3
POライン文字型予約ローカルエリア1
POライン文字型予約ローカルエリア2
POライン文字型予約ローカルエリア3
POライン文字型予約ローカルエリア4
POライン文字型予約ローカルエリア5
POライン数字型予約ローカルエリア1
POライン数字型予約ローカルエリア2
POライン数字型予約ローカルエリア3
POライン日付型予約ローカルエリア1
POライン日付型予約ローカルエリア2
POライン日付型予約ローカルエリア3
POライン日付時間型予約ローカルエリア1
POライン日付時間型予約ローカルエリア2
POライン日付時間型予約ローカルエリア3
BDAP_CREATED_AT
BDAP_UPDATED_AT
