"number","machine","item","category","fullname","type"
6,"はんだ付","OK/NG情報","コネクタはんだNG（手動操作）","sum_equip_item_name - はんだ付_OK/NG情報||コネクタはんだNG（手動操作） - value","二値"
6,"はんだ付","OK/NG情報","ホールICはんだNG（手動操作）","sum_equip_item_name - はんだ付_OK/NG情報||ホールICはんだNG（手動操作） - value","二値"
6,"はんだ付","OK/NG情報","側面外観検査NG（コネクタ端子）","sum_equip_item_name - はんだ付_OK/NG情報||側面外観検査NG（コネクタ端子） - value","二値"
6,"はんだ付","OK/NG情報","側面外観検査NG（コイル端子）","sum_equip_item_name - はんだ付_OK/NG情報||側面外観検査NG（コイル端子） - value","二値"
6,"はんだ付","OK/NG情報","コイルはんだNG（手動操作）","sum_equip_item_name - はんだ付_OK/NG情報||コイルはんだNG（手動操作） - value","二値"
7,"ケースアッパー溶着","測定値","加工ST","sum_equip_item_name - ケースアッパー溶着_測定値|加工ST - value","低濃度値"
7,"ケースアッパー溶着","測定値","アシストガス流量1","sum_equip_item_name - ケースアッパー溶着_測定値|アシストガス流量1 - value","実数値"
7,"ケースアッパー溶着","測定値","アシストガス流量2","sum_equip_item_name - ケースアッパー溶着_測定値|アシストガス流量2 - value","実数値"
7,"ケースアッパー溶着","測定値","アシストガス流量3","sum_equip_item_name - ケースアッパー溶着_測定値|アシストガス流量3 - value","実数値"
7,"ケースアッパー溶着","測定値","アシストガス流量4","sum_equip_item_name - ケースアッパー溶着_測定値|アシストガス流量4 - value","実数値"
7,"ケースアッパー溶着","測定値","アシストガス流量5","sum_equip_item_name - ケースアッパー溶着_測定値|アシストガス流量5 - value","実数値"
7,"ケースアッパー溶着","測定値","アシストガス流量6","sum_equip_item_name - ケースアッパー溶着_測定値|アシストガス流量6 - value","実数値"
7,"ケースアッパー溶着","測定値","ガラスクリーニング後加工数","sum_equip_item_name - ケースアッパー溶着_測定値|ガラスクリーニング後加工数 - value","高濃度(数値系）"
7,"ケースアッパー溶着","測定値","ケース加圧力","sum_equip_item_name - ケースアッパー溶着_測定値|ケース加圧力 - value","実数値"
7,"ケースアッパー溶着","測定値","レーザ出力","sum_equip_item_name - ケースアッパー溶着_測定値|レーザ出力 - value","低濃度値"
7,"ケースアッパー溶着","測定値","沈み込み量2","sum_equip_item_name - ケースアッパー溶着_測定値|沈み込み量2 - value","実数値"
7,"ケースアッパー溶着","測定値","沈み込み量3","sum_equip_item_name - ケースアッパー溶着_測定値|沈み込み量3 - value","実数値"
7,"ケースアッパー溶着","測定値","沈み込み量4","sum_equip_item_name - ケースアッパー溶着_測定値|沈み込み量4 - value","実数値"
7,"ケースアッパー溶着","測定値","沈み込み量1","sum_equip_item_name - ケースアッパー溶着_測定値|沈み込み量1 - value","実数値"
7,"ケースアッパー溶着","OK/NG情報","溶接途中停止","sum_equip_item_name - ケースアッパー溶着_OK/NG情報||溶接途中停止 - value","二値"
7,"ケースアッパー溶着","OK/NG情報","ｹｰｽ沈み込み量NG","sum_equip_item_name - ケースアッパー溶着_OK/NG情報||ｹｰｽ沈み込み量NG - value","二値"
7,"ケースアッパー溶着","OK/NG情報","加工後QR読取NG-R","sum_equip_item_name - ケースアッパー溶着_OK/NG情報||加工後QR読取NG-R - value","二値"
7,"ケースアッパー溶着","OK/NG情報","加工後QR読取NG-R","sum_equip_item_name - ケースアッパー溶着_OK/NG情報||加工後QR読取NG-R - value","二値"
8,"性能検査","測定値","加工ST","sum_equip_item_name - 性能検査_測定値|加工ST - value","低濃度値"
8,"性能検査","測定値","加圧量","sum_equip_item_name - 性能検査_測定値|加圧量 - value","低濃度値"
8,"性能検査","測定値","端子位置X1","sum_equip_item_name - 性能検査_測定値|端子位置X1 - value","高濃度(数値系）"
8,"性能検査","測定値","端子位置X2","sum_equip_item_name - 性能検査_測定値|端子位置X2 - value","高濃度(数値系）"
8,"性能検査","測定値","端子位置X3","sum_equip_item_name - 性能検査_測定値|端子位置X3 - value","高濃度(数値系）"
8,"性能検査","測定値","端子位置X4","sum_equip_item_name - 性能検査_測定値|端子位置X4 - value","高濃度(数値系）"
8,"性能検査","測定値","端子位置Y1","sum_equip_item_name - 性能検査_測定値|端子位置Y1 - value","高濃度(数値系）"
8,"性能検査","測定値","端子位置Y2","sum_equip_item_name - 性能検査_測定値|端子位置Y2 - value","高濃度(数値系）"
8,"性能検査","測定値","端子位置Y3","sum_equip_item_name - 性能検査_測定値|端子位置Y3 - value","高濃度(数値系）"
8,"性能検査","測定値","端子位置Y4","sum_equip_item_name - 性能検査_測定値|端子位置Y4 - value","高濃度(数値系）"
8,"性能検査","測定値","流量測定圧力","sum_equip_item_name - 性能検査_測定値|流量測定圧力 - value","実数値"
8,"性能検査","測定値","補正前流量","sum_equip_item_name - 性能検査_測定値|補正前流量 - value","高濃度(数値系）"
8,"性能検査","測定値","補正量","sum_equip_item_name - 性能検査_測定値|補正量 - value","低濃度値"
8,"性能検査","測定値","補正後流量","sum_equip_item_name - 性能検査_測定値|補正後流量 - value","実数値"
8,"性能検査","測定値","漏れ量","sum_equip_item_name - 性能検査_測定値|漏れ量 - value","実数値"
8,"性能検査","測定値","レーザ焦げ","sum_equip_item_name - 性能検査_測定値|レーザ焦げ - value","低濃度値"
8,"性能検査","OK/NG情報","コネクタ視覚チェックNG","sum_equip_item_name - 性能検査_OK/NG情報||コネクタ視覚チェックNG - value","二値"
8,"性能検査","OK/NG情報","作動検査NG","sum_equip_item_name - 性能検査_OK/NG情報||作動検査NG - value","二値"
8,"性能検査","OK/NG情報","閉弁流量","sum_equip_item_name - 性能検査_OK/NG情報||閉弁流量 - value","二値"
8,"性能検査","OK/NG情報","黒点検査NG","sum_equip_item_name - 性能検査_OK/NG情報||黒点検査NG - value","二値"
8,"性能検査","OK/NG情報","補正前流量","sum_equip_item_name - 性能検査_OK/NG情報||補正前流量 - value","二値"
8,"性能検査","OK/NG情報","補正後流量","sum_equip_item_name - 性能検査_OK/NG情報||補正後流量 - value","二値"
8,"性能検査","OK/NG情報","気密検査NG","sum_equip_item_name - 性能検査_OK/NG情報||気密検査NG - value","二値"
8,"性能検査","OK/NG情報","顧客品番読出し","sum_equip_item_name - 性能検査_OK/NG情報||顧客品番読出し - value","二値"
8,"性能検査","OK/NG情報","ﾃｰﾌﾞﾙ投入前QR読取NG","sum_equip_item_name - 性能検査_OK/NG情報||ﾃｰﾌﾞﾙ投入前QR読取NG - value","二値"
8,"性能検査","OK/NG情報","2440pls駆動","sum_equip_item_name - 性能検査_OK/NG情報||2440pls駆動 - value","二値"
8,"性能検査","測定値","レーザ焦げ2","sum_equip_item_name - 性能検査_測定値|レーザ焦げ2 - value","低濃度値"
8,"性能検査","OK/NG情報","ソフトVer読出し","sum_equip_item_name - 性能検査_OK/NG情報||ソフトVer読出し - value","二値"
8,"性能検査","OK/NG情報","検査終了処理","sum_equip_item_name - 性能検査_OK/NG情報||検査終了処理 - value","二値"
8,"性能検査","OK/NG情報","フルイニシャライズ(閉弁駆動)","sum_equip_item_name - 性能検査_OK/NG情報||フルイニシャライズ(閉弁駆動) - value","二値"
8,"性能検査","OK/NG情報","140pls駆動","sum_equip_item_name - 性能検査_OK/NG情報||140pls駆動 - value","二値"
8,"性能検査","OK/NG情報","補正後140pls駆動","sum_equip_item_name - 性能検査_OK/NG情報||補正後140pls駆動 - value","二値"
8,"性能検査","OK/NG情報","補正後EXV特性読出し","sum_equip_item_name - 性能検査_OK/NG情報||補正後EXV特性読出し - value","二値"
